,Elmore,Jefferson,Limestone,Montgomery,Tuscaloosa,Baldwin,Lee,Shelby,Madison,St. Clair,Calhoun,Talladega,Chambers,Mobile,Walker,Cullman,Jackson,Lamar,Lauderdale,Washington,Marion,Franklin,Houston,Tallapoosa,Autauga,Morgan,Blount,Butler,Cherokee,Chilton,Clay,Cleburne,Colbert,Dallas,Etowah,Lawrence,Marshall,Pickens,Pike,Russell,Wilcox,Bullock,Choctaw,Coosa,Crenshaw,DeKalb,Lowndes,Marengo,Covington,Escambia,Greene,Randolph,Winston,Monroe,Macon,Bibb,Fayette,Hale,Sumter,Clarke,Conecuh,Dale,Coffee,Barbour,Henry,Perry,Geneva
2020-03-13,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-14,1,6,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-15,1,13,1,1,3,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-16,1,17,1,2,3,1,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-17,2,21,1,2,3,1,3,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-18,4,25,1,2,3,1,7,4,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-19,5,34,1,3,4,1,10,9,5,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-20,6,50,1,3,4,2,11,10,7,1,1,1,1,2,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-21,6,61,1,3,6,2,12,16,9,1,1,1,1,2,1,2,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-22,6,71,1,3,7,2,16,17,16,3,1,1,2,2,1,2,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-23,6,86,1,4,9,3,19,22,21,3,2,1,2,2,3,2,1,1,3,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-24,8,91,4,9,10,4,26,27,21,4,2,2,5,6,5,3,2,1,3,1,1,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-25,9,129,6,13,15,4,40,42,35,6,2,3,10,10,9,4,2,1,7,1,3,2,2,4,4,5,1,1,1,1,1,1,1,2,3,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-26,10,173,13,17,20,5,47,53,43,6,2,4,13,21,18,6,4,1,9,2,7,3,3,4,6,9,3,1,1,4,1,1,1,2,4,3,3,1,2,1,2,2,1,2,1,1,1,1,,,,,,,,,,,,,,,,,,,
2020-03-27,12,179,16,18,22,5,53,70,61,9,3,4,15,23,24,7,5,1,11,2,7,3,4,5,6,13,5,1,1,7,1,3,1,2,5,3,4,1,4,1,2,2,1,2,1,4,1,2,2,1,1,1,2,,,,,,,,,,,,,,
2020-03-28,13,214,16,18,23,10,56,72,62,10,3,4,17,34,28,7,5,1,13,2,9,3,4,5,6,15,5,1,1,7,2,4,1,2,6,3,4,1,4,1,2,3,1,2,1,4,1,3,2,1,3,2,2,1,,,,,,,,,,,,,
2020-03-29,13,246,16,22,23,15,57,79,80,13,3,4,27,41,30,7,5,1,12,4,10,3,8,8,6,17,5,1,2,8,2,5,2,2,6,3,5,2,4,1,2,3,1,3,1,4,1,5,2,1,3,2,2,1,1,,,,,,,,,,,,
2020-03-30,13,257,20,29,28,18,74,88,96,14,9,6,36,45,31,8,7,1,12,3,9,3,9,12,7,19,5,1,2,10,2,5,4,2,6,3,7,3,4,1,2,3,2,4,1,4,1,4,2,1,3,2,2,1,1,2,1,1,1,,,,,,,,
2020-03-31,12,282,22,31,29,19,75,86,100,15,9,7,36,53,32,8,8,1,12,3,9,3,8,13,7,20,5,1,2,11,2,5,4,2,8,3,6,4,4,1,3,3,3,4,1,4,1,4,2,1,3,2,2,1,1,3,1,1,1,,,,,,,,
2020-04-01,15,305,23,35,30,23,83,89,107,17,11,8,45,57,32,9,8,1,12,3,11,3,9,14,10,20,5,1,2,13,3,6,4,3,10,3,6,4,7,2,3,3,4,4,1,6,1,5,3,1,4,5,2,3,2,3,1,1,3,2,1,1,,,,,
2020-04-02,17,332,25,46,37,25,91,101,116,19,12,8,67,69,34,9,9,1,14,3,11,4,9,17,10,22,6,1,4,14,7,6,5,4,13,3,7,9,7,2,5,2,4,6,1,8,2,5,3,2,4,6,2,3,4,4,1,1,4,2,1,1,3,,,,
2020-04-03,19,369,30,61,41,28,99,115,123,23,20,12,81,103,49,15,12,1,14,5,16,5,12,20,12,24,9,1,5,15,8,7,5,7,21,4,17,11,10,4,6,2,4,6,1,10,2,8,4,2,5,10,3,5,5,4,1,3,7,3,1,1,6,1,2,,
2020-04-04,19,376,31,63,44,29,104,127,126,25,21,16,87,114,49,15,13,3,16,5,17,6,14,20,12,24,10,1,6,15,9,7,5,7,27,4,17,12,10,6,11,2,4,6,2,13,3,8,4,2,5,11,3,5,5,4,1,3,6,7,2,2,7,2,2,,
2020-04-05,19,418,32,71,60,34,110,145,137,28,24,20,90,127,49,15,14,3,16,5,19,6,20,30,12,27,10,1,6,18,9,7,6,7,36,6,26,12,14,10,12,2,5,7,2,14,6,13,4,3,6,11,3,5,5,7,1,3,7,9,2,2,7,2,3,,
2020-04-06,20,438,33,71,74,38,118,150,141,31,38,20,96,148,54,20,17,5,16,6,19,7,24,31,12,30,10,1,6,20,9,9,7,7,42,8,34,13,14,10,13,2,6,8,2,14,6,13,5,3,8,12,3,5,5,7,1,5,10,9,2,4,8,3,4,,
2020-04-07,22,461,32,74,79,42,133,159,150,30,48,21,102,202,64,22,18,5,18,7,21,7,25,33,12,31,10,2,6,20,9,12,7,7,43,8,40,14,14,12,13,2,6,9,2,14,8,14,5,3,10,13,3,5,6,8,1,7,15,10,2,4,8,3,4,,
2020-04-08,24,492,32,81,85,49,190,165,165,35,52,26,140,249,68,22,20,6,19,7,23,7,27,43,12,34,10,3,7,22,11,12,7,7,47,8,45,15,16,14,13,3,6,9,2,14,11,14,10,5,12,15,3,6,6,9,1,7,17,10,4,4,12,3,5,,
2020-04-09,29,523,35,90,86,59,206,183,177,37,54,30,161,329,72,29,22,7,20,11,33,8,33,48,17,36,11,3,7,25,11,12,8,10,53,8,64,19,18,18,17,4,6,10,2,16,12,14,10,5,13,20,3,6,9,11,1,7,17,13,3,6,14,7,8,2,
2020-04-10,30,555,36,92,91,59,215,185,177,37,54,32,171,382,72,30,22,7,20,11,39,8,33,53,17,36,12,3,7,27,11,12,8,11,64,8,72,19,18,20,18,4,7,10,2,18,12,15,10,6,13,22,4,6,9,11,2,7,18,13,3,6,14,9,10,3,
2020-04-11,30,579,36,106,100,66,221,196,186,39,57,32,184,429,78,31,22,7,21,12,42,8,37,62,19,37,12,6,7,30,12,12,8,10,74,8,84,21,18,22,25,4,9,11,2,21,14,19,11,8,14,27,4,6,12,13,3,11,19,15,3,6,20,10,10,4,
2020-04-12,33,597,37,120,119,71,236,213,187,42,60,34,200,454,83,39,25,8,21,12,52,10,44,99,19,39,13,7,9,30,14,12,9,14,77,8,99,22,20,24,30,4,10,18,3,26,14,21,13,8,17,36,4,6,14,16,4,15,20,19,5,8,32,10,11,6,1
2020-04-13,37,617,37,149,120,78,250,230,188,43,61,38,212,491,84,39,26,8,22,12,57,10,47,107,19,41,15,8,9,33,14,12,10,14,78,8,103,23,21,28,31,6,10,18,3,28,16,24,13,10,18,40,4,7,17,17,4,15,23,19,5,12,36,10,13,6,1
2020-04-14,43,620,37,161,122,87,265,235,191,45,62,38,216,509,84,40,29,7,22,12,58,12,52,123,23,41,16,8,9,33,14,12,11,17,78,8,104,24,22,30,31,8,12,18,3,29,19,23,16,10,18,45,4,7,19,17,4,17,26,21,5,12,36,11,14,7,1
2020-04-15,49,628,38,189,131,98,285,241,194,49,62,40,227,561,85,40,31,7,22,12,58,17,55,149,25,44,17,11,10,37,14,12,11,22,84,8,109,30,27,31,38,8,13,20,4,31,23,24,18,11,19,45,7,7,19,19,4,20,30,22,6,13,43,13,15,7,2
2020-04-16,54,634,38,201,132,102,294,242,198,49,63,40,234,594,84,42,32,7,22,13,60,17,58,160,25,44,18,11,11,37,14,12,13,21,87,8,117,30,28,35,40,8,13,20,5,32,25,24,19,12,22,47,9,7,24,24,4,22,31,24,8,14,50,14,15,8,2
2020-04-17,54,645,40,207,153,103,300,248,216,52,63,42,236,627,83,53,32,7,23,14,62,18,64,160,26,47,20,16,12,37,14,12,13,21,88,8,123,32,29,35,40,8,13,20,5,34,25,24,19,14,24,51,9,7,24,23,4,22,33,24,8,14,50,15,16,9,2
2020-04-18,58,673,40,217,141,109,306,257,197,53,66,44,240,638,83,42,38,8,23,15,60,17,63,180,25,45,20,13,12,39,17,12,15,22,93,9,139,33,34,42,45,9,14,22,6,40,27,25,21,12,29,51,9,8,24,26,4,23,35,24,10,17,56,18,17,9,4
2020-04-19,63,682,40,226,145,114,308,269,199,54,72,46,246,663,85,42,38,8,23,16,61,17,66,195,27,47,21,14,12,42,18,12,16,25,98,9,150,38,37,43,47,9,14,22,6,42,30,27,22,15,29,53,9,9,25,28,4,26,36,24,10,20,59,20,17,9,4
2020-04-20,68,688,40,231,153,117,311,273,202,57,80,47,257,680,90,44,39,9,24,16,63,18,70,193,28,48,22,14,12,43,19,12,16,26,100,10,167,40,41,48,49,11,17,23,6,46,31,30,24,16,32,56,9,9,26,32,3,31,40,24,9,21,64,22,18,9,4
2020-04-21,73,700,40,245,157,123,319,274,203,59,83,50,259,721,91,45,41,9,25,17,65,18,73,228,30,51,26,15,13,44,19,12,16,29,110,10,195,42,46,48,49,11,18,24,6,51,32,35,26,17,32,59,10,9,27,32,4,34,44,24,9,21,68,28,20,9,4
2020-04-22,74,744,38,253,165,132,331,278,205,62,85,52,270,759,90,44,42,8,25,18,65,22,75,242,32,50,29,17,13,46,19,12,20,30,116,12,241,44,53,52,50,11,21,24,6,58,32,40,27,18,40,60,10,9,27,34,4,36,46,25,9,22,73,29,20,9,5
2020-04-23,74,778,40,263,173,143,340,283,205,62,88,53,275,810,89,44,43,9,25,18,67,25,78,254,33,50,31,19,12,47,19,12,22,29,120,12,258,44,57,54,52,12,22,28,8,61,34,38,29,21,41,58,10,9,27,33,4,37,47,25,9,22,80,30,22,9,6
2020-04-24,74,797,41,274,182,147,351,294,202,63,89,54,282,845,89,47,45,10,25,19,69,32,76,261,36,55,31,21,12,49,19,12,23,32,121,12,267,45,58,53,53,12,25,29,10,61,36,39,31,22,44,60,10,11,29,34,4,39,51,24,9,23,87,32,22,9,6
2020-04-25,77,828,41,284,185,154,358,298,210,63,90,55,284,888,91,49,45,10,27,20,73,38,76,267,37,57,31,28,12,49,19,12,23,32,123,12,279,46,58,53,53,12,27,29,10,63,38,40,32,22,44,60,10,11,31,35,5,40,51,25,9,25,88,33,22,9,7
