,Anchorage,Fairbanks North Star Borough,Ketchikan Gateway Borough,Kenai Peninsula Borough,Juneau City and Borough,Matanuska-Susitna Borough,Unknown,Yukon-Koyukuk Census Area,Southeast Fairbanks Census Area,Petersburg Borough,Bethel Census Area,Prince of Wales-Hyder Census Area,Nome Census Area,Kodiak Island Borough,Sitka City and Borough
2020-03-12,1,,,,,,,,,,,,,,
2020-03-13,1,,,,,,,,,,,,,,
2020-03-14,1,,,,,,,,,,,,,,
2020-03-15,1,,,,,,,,,,,,,,
2020-03-16,1,2,,,,,,,,,,,,,
2020-03-17,2,3,1,,,,,,,,,,,,
2020-03-18,4,3,1,1,,,,,,,,,,,
2020-03-19,4,5,2,1,,,,,,,,,,,
2020-03-20,4,6,3,1,,,,,,,,,,,
2020-03-21,5,7,6,3,,,,,,,,,,,
2020-03-22,6,7,6,3,,,,,,,,,,,
2020-03-23,17,7,6,3,1,2,,,,,,,,,
2020-03-24,17,9,8,4,2,2,,,,,,,,,
2020-03-25,28,11,11,5,2,2,,,,,,,,,
2020-03-26,33,15,11,5,3,2,,,,,,,,,
2020-03-27,43,19,12,5,4,2,,,,,,,,,
2020-03-28,54,23,12,7,4,2,,,,,,,,,
2020-03-29,59,28,13,7,5,2,,,,,,,,,
2020-03-30,61,31,13,7,5,3,,,,,,,,,
2020-03-31,65,35,13,8,9,3,,,,,,,,,
2020-04-01,67,40,14,8,10,4,,,,,,,,,
2020-04-02,66,42,14,8,10,4,1,1,,,,,,,
2020-04-03,73,42,14,10,11,4,,1,1,,,,,,
2020-04-04,81,46,14,10,12,4,,1,1,,,,,,
2020-04-05,85,53,14,11,14,4,,1,1,,,,,,
2020-04-06,88,54,14,12,14,4,,1,1,1,,,,,
2020-04-07,98,65,14,12,14,4,,1,1,1,1,,,,
2020-04-08,103,71,14,12,14,5,1,1,1,1,1,,,,
2020-04-09,109,73,14,13,14,6,,1,1,1,1,,,,
2020-04-10,112,76,14,14,15,9,,1,1,1,1,,,,
2020-04-11,121,76,14,14,15,10,,1,1,1,1,1,,,
2020-04-12,127,79,15,14,16,14,,1,1,1,1,1,,,
2020-04-13,131,79,15,14,17,14,,1,1,1,1,1,,,
2020-04-14,136,79,15,14,18,15,,1,1,1,1,2,,,
2020-04-15,139,79,15,15,21,15,,1,1,1,1,2,1,,
2020-04-16,143,79,15,15,23,15,,1,1,1,1,2,1,1,
2020-04-17,150,79,15,16,24,15,,1,1,1,1,2,1,1,
2020-04-18,151,79,15,18,24,17,,1,1,1,1,2,1,1,
2020-04-19,154,79,15,18,24,18,,1,1,2,1,2,1,1,
2020-04-20,155,79,15,18,24,19,,1,1,2,1,2,1,1,
2020-04-21,160,79,16,18,26,19,,1,1,2,1,2,1,1,
2020-04-22,164,79,16,18,27,20,,1,1,2,1,2,1,1,
2020-04-23,166,79,16,18,27,20,,1,1,2,1,2,1,1,
2020-04-24,168,79,16,18,27,20,,1,1,2,1,2,1,1,
2020-04-25,168,79,16,18,27,20,,1,1,2,1,2,1,1,
2020-04-26,168,80,16,18,27,20,,1,1,2,1,2,1,1,1
2020-04-27,171,80,16,18,27,21,,1,1,2,1,2,1,1,1
2020-04-28,175,81,16,18,27,21,,1,1,3,1,2,1,1,1
2020-04-29,179,81,16,18,27,21,,1,1,3,1,2,1,1,1
2020-04-30,179,81,16,18,27,21,,1,1,3,1,2,1,1,1
2020-05-01,185,82,16,20,27,21,,1,1,3,1,2,1,1,1
2020-05-02,185,83,16,20,27,21,,1,1,3,1,2,1,1,1
