,Fairfield,Litchfield,Hartford,New Haven,Middlesex,Tolland,Windham,New London,Unknown
2020-03-08,1,,,,,,,,
2020-03-09,2,,,,,,,,
2020-03-10,2,,,,,,,,
2020-03-11,3,,,,,,,,
2020-03-12,5,1,,,,,,,
2020-03-13,8,3,,,,,,,
2020-03-14,15,3,1,1,,,,,
2020-03-15,16,4,3,3,,,,,
2020-03-16,29,4,4,4,,,,,
2020-03-17,48,5,7,8,,,,,
2020-03-18,69,5,11,10,1,,,,
2020-03-19,102,7,18,24,3,4,1,,
2020-03-20,122,8,29,24,5,4,1,1,
2020-03-21,140,11,35,24,6,5,1,1,
2020-03-22,208,12,54,29,6,14,1,3,
2020-03-23,270,13,61,41,8,16,2,4,
2020-03-24,384,22,88,89,8,19,2,6,
2020-03-25,546,33,116,127,15,27,2,9,
2020-03-26,607,44,138,156,18,33,3,13,
2020-03-27,752,52,189,222,25,33,3,15,
2020-03-28,908,65,228,236,28,37,3,19,
2020-03-29,1245,87,276,280,38,40,7,20,
2020-03-30,1445,113,330,373,50,50,10,24,176
2020-03-31,1870,121,393,517,56,56,11,27,77
2020-04-01,1986,131,469,611,66,61,19,29,185
2020-04-02,2132,141,539,647,74,67,21,29,174
2020-04-03,2717,173,679,891,91,79,27,40,218
2020-04-04,2824,182,726,1024,100,91,31,57,241
2020-04-05,3050,197,751,1162,110,94,32,57,222
2020-04-06,3719,230,882,1468,135,103,40,65,264
2020-04-07,4136,255,1045,1664,150,111,43,85,292
2020-04-08,4417,292,1290,1945,174,128,49,120,366
2020-04-09,4882,315,1471,2183,205,145,52,139,392
2020-04-10,5180,346,1615,2383,240,152,59,156,407
2020-04-11,5407,388,1832,2715,290,171,66,185,456
2020-04-12,5534,403,1914,2946,299,182,66,190,501
2020-04-13,6004,446,2243,3358,339,195,83,222,491
2020-04-14,6213,460,2370,3543,355,201,87,227,533
2020-04-15,6480,490,2570,3758,379,216,89,236,537
2020-04-16,6816,535,2859,4163,394,241,87,255,534
2020-04-17,7146,569,3015,4520,422,258,92,292,495
2020-04-18,7363,593,3196,4743,448,270,97,315,525
2020-04-19,7434,600,3351,4871,462,276,100,339,529
2020-04-20,8320,639,3823,5272,484,299,108,356,514
2020-04-21,8472,643,3951,5493,512,305,112,369,503
2020-04-22,9883,722,4128,5811,525,331,122,397,503
2020-04-23,10008,751,4303,6064,545,359,129,419,522
2020-04-24,10227,808,4570,6286,561,375,139,448,507
2020-04-25,10373,834,4761,6509,576,384,151,473,521
2020-04-26,10529,864,4989,6715,588,407,157,498,522
2020-04-27,10763,892,5157,6993,609,419,164,516,484
2020-04-28,10874,900,5224,7089,618,422,164,530,491
2020-04-29,10985,919,5388,7205,631,427,165,540,507
2020-04-30,11294,963,5601,7536,657,437,186,564,462
2020-05-01,11612,1014,5931,7900,687,446,200,603,371
2020-05-02,11801,1036,6112,8024,707,461,211,623,371
