,New Castle,Sussex,Kent,Unknown
2020-03-11,0,,,
2020-03-12,0,,,
2020-03-13,0,,,
2020-03-14,0,,,
2020-03-15,0,,,
2020-03-16,0,,,
2020-03-17,0,0,,
2020-03-18,0,0,0,
2020-03-19,0,0,0,
2020-03-20,0,0,0,
2020-03-21,0,0,0,
2020-03-22,0,0,0,
2020-03-23,0,0,0,
2020-03-24,0,0,0,
2020-03-25,0,0,0,
2020-03-26,0,1,0,
2020-03-27,1,1,0,
2020-03-28,2,1,2,
2020-03-29,3,1,2,
2020-03-30,3,2,2,
2020-03-31,6,2,2,
2020-04-01,6,3,2,
2020-04-02,7,3,2,
2020-04-03,9,3,2,
2020-04-04,9,3,2,
2020-04-05,9,3,2,
2020-04-06,9,3,3,
2020-04-07,9,4,3,
2020-04-08,11,5,3,
2020-04-09,13,7,3,
2020-04-10,19,10,3,0
2020-04-11,19,10,4,0
2020-04-12,19,12,4,
2020-04-13,20,15,6,0
2020-04-14,20,16,7,0
2020-04-15,21,17,8,0
2020-04-16,25,18,9,0
2020-04-17,30,22,9,0
2020-04-18,32,25,10,0
2020-04-19,32,25,10,0
2020-04-20,33,26,13,0
2020-04-21,36,32,14,0
2020-04-22,38,36,15,0
2020-04-23,40,37,15,0
2020-04-24,45,40,15,0
2020-04-25,52,42,18,0
2020-04-26,55,43,22,0
2020-04-27,57,45,23,0
2020-04-28,63,51,23,0
2020-04-29,65,54,25,0
2020-04-30,68,58,26,0
2020-05-01,70,62,27,0
2020-05-02,76,63,29,0
2020-05-03,79,68,30,0
2020-05-04,82,70,30,0
2020-05-05,83,72,32,0
2020-05-06,85,75,33,0
2020-05-07,89,79,34,0
2020-05-08,91,86,36,
2020-05-09,93,90,38,0
2020-05-10,95,91,38,0
2020-05-11,95,91,39,0
2020-05-12,100,93,43,1
2020-05-13,102,99,45,1
2020-05-14,108,105,46,1
2020-05-15,114,108,48,1
2020-05-16,121,112,52,1
2020-05-17,124,113,52,1
2020-05-18,130,114,52,1
2020-05-19,135,115,53,1
2020-05-20,138,116,55,1
2020-05-21,144,117,55,1
2020-05-22,146,119,56,1
2020-05-23,147,120,56,1
2020-05-24,148,121,56,1
2020-05-25,149,126,56,1
2020-05-26,150,128,57,0
2020-05-27,155,128,61,0
2020-05-28,155,129,61,0
2020-05-29,163,131,62,0
2020-05-30,166,132,63,0
2020-05-31,170,133,63,0
2020-06-01,172,133,63,0
2020-06-02,172,135,66,0
2020-06-03,173,136,66,0
2020-06-04,173,143,69,1
2020-06-05,173,144,71,0
2020-06-06,174,144,72,0
2020-06-07,176,146,76,0
2020-06-08,176,146,76,0
