,Honolulu,Kauai,Maui,Hawaii,Unknown,Kalawao
2020-03-06,1,,,,,
2020-03-07,1,,,,,
2020-03-08,2,,,,,
2020-03-09,2,,,,,
2020-03-10,2,,,,,
2020-03-11,2,,,,,
2020-03-12,2,,,,,
2020-03-13,2,,,,,
2020-03-14,2,2,,,,
2020-03-15,4,2,1,,,
2020-03-16,6,2,2,,,
2020-03-17,8,2,3,1,,
2020-03-18,10,2,3,1,,
2020-03-19,18,2,5,1,,
2020-03-20,28,3,5,1,,
2020-03-21,35,3,7,3,,
2020-03-22,41,3,9,3,,
2020-03-23,53,3,11,5,5,
2020-03-24,58,3,11,5,13,
2020-03-25,68,5,13,5,4,
2020-03-26,77,5,14,5,5,
2020-03-27,87,5,16,7,5,
2020-03-28,108,11,16,10,6,
2020-03-29,119,12,20,12,12,
2020-03-30,139,12,25,15,13,
2020-03-31,157,12,25,15,15,
2020-04-01,182,12,26,18,20,
2020-04-02,206,12,27,18,20,
2020-04-03,237,13,36,20,11,
2020-04-04,266,15,38,22,8,
2020-04-05,281,16,43,22,7,
2020-04-06,292,17,44,23,9,
2020-04-07,312,18,48,23,7,
2020-04-08,328,18,54,26,7,
2020-04-09,334,18,57,28,3,
2020-04-10,343,19,66,31,4,
2020-04-11,348,19,80,34,3,
2020-04-12,350,21,84,39,3,
2020-04-13,352,21,86,40,3,
2020-04-14,358,21,88,41,3,
2020-04-15,369,21,92,41,1,
2020-04-16,373,21,95,41,5,
2020-04-17,380,21,102,44,,
2020-04-18,382,21,104,61,,
2020-04-19,385,21,106,62,,
2020-04-20,385,21,108,64,,
2020-04-21,385,21,110,64,,
2020-04-22,388,21,110,67,,
2020-04-23,389,21,112,68,,
2020-04-24,392,21,113,69,,
2020-04-25,395,21,112,69,,
2020-04-26,396,21,112,70,,
2020-04-27,396,21,113,70,,
2020-04-28,396,21,115,70,,
2020-04-29,399,21,115,70,,
2020-04-30,399,21,116,73,,
2020-05-01,400,21,116,73,,
2020-05-02,400,21,117,73,,
2020-05-03,400,21,116,74,,
2020-05-04,400,21,116,75,,
2020-05-05,404,21,116,74,,
2020-05-06,405,21,116,74,,
2020-05-07,408,21,116,74,,
2020-05-08,408,21,116,74,,
2020-05-09,407,21,117,75,,
2020-05-10,408,21,117,75,,
