,Honolulu,Kauai,Maui,Hawaii,Unknown,Kalawao
2020-03-06,0,,,,,
2020-03-07,0,,,,,
2020-03-08,0,,,,,
2020-03-09,0,,,,,
2020-03-10,0,,,,,
2020-03-11,0,,,,,
2020-03-12,0,,,,,
2020-03-13,0,,,,,
2020-03-14,0,0,,,,
2020-03-15,0,0,0,,,
2020-03-16,0,0,0,,,
2020-03-17,0,0,0,0,,
2020-03-18,0,0,0,0,,
2020-03-19,0,0,0,0,,
2020-03-20,0,0,0,0,,
2020-03-21,0,0,0,0,,
2020-03-22,0,0,0,0,,
2020-03-23,0,0,0,0,0,
2020-03-24,0,0,0,0,0,
2020-03-25,0,0,0,0,0,
2020-03-26,0,0,0,0,0,
2020-03-27,0,0,0,0,0,
2020-03-28,0,0,0,0,0,
2020-03-29,0,0,0,0,0,
2020-03-30,0,0,0,0,0,
2020-03-31,1,0,0,0,0,
2020-04-01,1,0,0,0,0,
2020-04-02,2,0,0,0,0,
2020-04-03,2,0,0,0,1,
2020-04-04,2,0,0,0,1,
2020-04-05,2,0,0,0,2,
2020-04-06,4,0,1,0,0,
2020-04-07,4,0,1,0,0,
2020-04-08,4,0,1,0,0,
2020-04-09,4,0,2,0,0,
2020-04-10,5,0,3,0,0,
2020-04-11,5,0,3,0,0,
2020-04-12,6,0,3,0,0,
2020-04-13,6,0,3,0,0,
2020-04-14,6,0,3,0,0,
2020-04-15,6,0,3,0,0,
2020-04-16,6,0,3,0,0,
2020-04-17,6,0,3,0,,
2020-04-18,6,0,3,0,,
2020-04-19,6,0,4,0,,
2020-04-20,6,0,4,0,,
2020-04-21,7,0,5,0,,
2020-04-22,7,0,5,0,,
2020-04-23,7,0,5,0,,
2020-04-24,8,0,5,0,,
2020-04-25,9,0,5,0,,
2020-04-26,9,0,5,0,,
2020-04-27,11,0,5,0,,
2020-04-28,11,0,5,0,,
2020-04-29,11,0,5,0,,
2020-04-30,11,0,5,0,,
2020-05-01,11,0,5,0,,
2020-05-02,11,0,5,0,,
2020-05-03,11,0,6,0,,
2020-05-04,11,0,6,0,,
2020-05-05,11,0,6,0,,
2020-05-06,11,0,6,0,,
2020-05-07,11,0,6,0,,
2020-05-08,11,0,6,0,,
2020-05-09,11,0,6,0,,
2020-05-10,11,0,6,0,,
2020-05-11,11,0,6,0,,
2020-05-12,11,0,6,0,,
2020-05-13,11,0,6,0,,
2020-05-14,11,0,6,0,,
2020-05-15,11,0,6,0,,
2020-05-16,11,0,6,0,,
2020-05-17,11,0,6,0,,
2020-05-18,11,0,6,0,,
2020-05-19,11,0,6,0,,
2020-05-20,11,0,6,0,,
2020-05-21,11,0,6,0,,
2020-05-22,11,0,6,0,,
2020-05-23,11,0,6,0,,
2020-05-24,11,0,6,0,,
2020-05-25,11,0,6,0,,
2020-05-26,11,0,6,0,,
2020-05-27,11,0,6,0,,
2020-05-28,11,0,6,0,,
2020-05-29,11,0,6,0,,
2020-05-30,11,0,6,0,,
2020-05-31,11,0,6,0,,
2020-06-01,11,0,6,0,,
2020-06-02,11,0,6,0,,
2020-06-03,11,0,6,0,,
2020-06-04,11,0,6,0,,
2020-06-05,11,0,6,0,,
2020-06-06,11,0,6,0,,
2020-06-07,11,0,6,0,,
2020-06-08,11,0,6,0,,
2020-06-09,11,0,6,0,,
2020-06-10,11,0,6,0,,
2020-06-11,11,0,6,0,,
2020-06-12,11,0,6,0,,
2020-06-13,11,0,6,0,,
2020-06-14,11,0,6,0,,
2020-06-15,11,0,6,0,,
2020-06-16,11,0,6,0,,
2020-06-17,11,0,6,0,,
2020-06-18,11,0,6,0,,
2020-06-19,11,0,6,0,,
2020-06-20,11,0,6,0,,
2020-06-21,11,0,6,0,,
2020-06-22,11,0,6,0,,
2020-06-23,11,0,6,0,,
2020-06-24,11,0,6,0,,
2020-06-25,11,0,6,0,,
2020-06-26,11,0,6,0,,
2020-06-27,12,0,6,0,,
2020-06-28,12,0,6,0,,
2020-06-29,12,0,6,0,,
2020-06-30,12,0,6,0,0,
2020-07-01,12,0,6,0,,
2020-07-02,12,0,6,0,,
2020-07-03,13,0,6,0,,
2020-07-04,13,0,6,0,,
2020-07-05,13,0,6,0,,
2020-07-06,13,0,6,0,,
2020-07-07,13,0,6,0,,
2020-07-08,13,0,6,0,,
2020-07-09,13,0,6,0,,
2020-07-10,13,0,6,0,,
2020-07-11,13,0,6,0,,
2020-07-12,13,0,6,0,,
2020-07-13,15,0,6,0,,
2020-07-14,15,0,6,0,,
2020-07-15,15,0,6,0,,
2020-07-16,15,0,6,0,0,
2020-07-17,16,0,6,0,,
2020-07-18,17,0,6,0,0,
2020-07-19,17,0,6,0,0,
2020-07-20,17,0,6,0,,
2020-07-21,17,0,6,0,,
2020-07-22,18,0,6,0,,
2020-07-23,19,0,6,0,,
2020-07-24,19,0,6,0,,
2020-07-25,19,0,6,0,,
2020-07-26,19,0,6,0,,
2020-07-27,19,0,6,0,,
2020-07-28,19,0,6,0,,
2020-07-29,19,0,6,0,,
2020-07-30,19,0,6,0,,
2020-07-31,19,0,6,0,,
2020-08-01,19,0,6,0,,
2020-08-02,19,0,6,0,,
2020-08-03,19,0,6,0,,
2020-08-04,20,0,6,0,,
2020-08-05,20,0,6,0,,
2020-08-06,22,0,6,0,,
2020-08-07,24,0,6,0,,
2020-08-08,24,0,6,0,,
2020-08-09,24,0,6,0,,
2020-08-10,27,0,6,0,,
2020-08-11,27,0,6,0,2,
2020-08-12,31,0,6,0,,
2020-08-13,33,0,6,0,,
2020-08-14,33,0,6,0,,
2020-08-15,33,0,6,0,,
2020-08-16,33,0,6,0,,
2020-08-17,33,0,6,0,,
2020-08-18,34,0,6,0,,
2020-08-19,35,0,6,0,,
2020-08-20,37,0,7,0,,
2020-08-21,38,0,7,0,,
2020-08-22,39,0,7,0,,
2020-08-23,39,0,7,0,,
2020-08-24,41,0,7,0,,
2020-08-25,41,0,7,0,,
2020-08-26,43,0,7,0,,
2020-08-27,47,0,7,0,,
2020-08-28,50,0,8,0,,
2020-08-29,53,0,8,0,,
2020-08-30,54,0,8,0,,
2020-08-31,59,0,8,2,,
2020-09-01,62,0,8,3,,
2020-09-02,63,0,8,3,,
2020-09-03,67,0,8,3,,
2020-09-04,69,0,8,3,,
2020-09-05,72,0,8,3,,
2020-09-06,73,0,8,3,,
2020-09-07,74,0,8,3,,
2020-09-08,75,0,9,3,,
2020-09-09,78,0,9,3,,
2020-09-10,81,0,9,3,,
2020-09-11,83,0,9,3,,
2020-09-12,84,0,9,3,,
2020-09-13,86,0,9,3,,
2020-09-14,86,0,9,3,,
2020-09-15,87,0,9,3,,
2020-09-16,90,0,9,3,,
2020-09-17,94,0,9,3,,
2020-09-18,95,0,9,15,,
2020-09-19,95,0,9,15,,
2020-09-20,95,0,9,15,,
2020-09-21,95,0,9,15,,
2020-09-22,95,0,9,15,,
2020-09-23,97,0,9,15,,
2020-09-24,99,0,9,15,,
2020-09-25,102,0,9,15,,
2020-09-26,106,0,9,15,,
2020-09-27,107,0,9,15,,
2020-09-28,107,0,9,15,,
2020-09-29,109,0,9,15,,
