,Jefferson,Orleans,Caddo,St. Charles,St. Tammany,Terrebonne,Bossier,Lafourche,St. John the Baptist,St. Bernard,Ascension,East Baton Rouge,Washington,Unknown,Assumption,Calcasieu,Iberia,Iberville,Lafayette,Livingston,Plaquemines,St. James,St. Landry,Webster,West Baton Rouge,Catahoula,De Soto,Rapides,Tangipahoa,Avoyelles,Beauregard,Bienville,Claiborne,Evangeline,Ouachita,St. Mary,Acadia,Allen,Grant,Lincoln,Natchitoches,Richland,St. Martin,Vernon,Jackson,Jefferson Davis,Morehouse,Union,Winn,East Feliciana,LaSalle,Madison,Pointe Coupee,Vermilion,West Feliciana,East Carroll,Franklin,Red River,Sabine,Concordia,St. Helena,Caldwell,West Carroll,Cameron,Tensas
2020-03-09,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-10,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-11,1,11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-12,1,12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-13,3,28,1,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-14,11,53,2,2,4,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-15,14,75,2,2,4,2,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-16,21,95,3,3,6,2,1,2,1,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-17,35,136,4,3,6,3,1,2,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-18,45,196,6,3,10,3,2,3,2,3,1,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-19,69,252,10,4,10,4,4,4,3,4,2,6,2,3,1,1,1,1,3,1,1,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-20,104,329,12,7,12,7,5,5,6,5,3,7,2,5,1,3,2,1,6,1,1,1,2,1,3,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-21,166,418,15,7,22,11,5,11,9,12,12,18,2,9,1,4,3,1,6,2,4,1,3,1,3,1,2,2,3,1,1,1,1,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-22,184,451,16,8,25,12,5,12,10,13,17,20,2,11,1,4,3,1,6,2,5,1,3,1,3,1,2,3,3,1,1,1,1,2,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-23,252,567,34,15,47,14,12,15,16,15,26,43,2,12,1,4,4,8,11,5,8,8,3,3,4,1,5,8,3,2,1,1,2,2,7,1,1,2,1,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,
2020-03-24,293,675,40,15,52,14,12,16,21,19,36,58,3,10,2,5,4,14,12,6,8,9,3,3,5,1,6,10,4,3,2,1,2,2,7,2,2,2,1,2,2,1,1,2,,,,,,,,,,,,,,,,,,,,,
2020-03-25,359,827,93,17,67,15,25,18,27,23,65,75,4,9,2,11,4,14,20,6,9,14,4,5,7,1,8,14,5,5,3,1,2,2,10,5,2,2,1,2,2,1,1,2,1,1,1,2,1,,,,,,,,,,,,,,,,
2020-03-26,458,997,115,22,89,21,32,28,38,28,91,105,6,12,5,15,4,17,30,11,13,29,5,8,8,1,11,25,7,7,3,1,2,2,19,5,3,5,1,3,2,1,2,2,1,1,3,2,1,4,1,1,1,1,,,,,,,,,,,
2020-03-27,548,1170,140,23,111,23,37,30,41,31,90,124,8,16,8,22,4,20,44,11,16,40,10,9,11,1,13,26,7,10,4,1,3,4,25,6,8,5,1,7,2,2,10,2,3,1,2,4,1,5,1,1,1,2,1,,,,,,,,,,
2020-03-28,744,1298,189,30,134,26,45,34,54,43,107,153,10,9,8,28,9,21,48,12,19,48,10,9,12,1,21,37,10,12,4,3,4,4,34,7,9,7,1,6,2,2,13,2,2,1,2,7,1,6,2,1,2,3,4,1,4,,,,,,,,
2020-03-29,761,1350,219,31,138,29,56,36,57,45,139,164,12,8,14,35,11,22,50,15,20,55,10,9,12,1,25,41,10,13,4,3,4,4,41,7,9,9,2,7,2,2,13,2,2,2,2,9,1,8,2,1,2,2,4,1,4,1,1,,,,,,
2020-03-30,838,1480,222,36,186,34,57,51,75,53,153,188,22,14,17,42,18,28,82,16,22,65,15,11,12,3,28,44,18,14,5,5,4,8,44,10,11,11,2,8,2,2,20,3,2,3,2,9,1,8,2,1,2,3,4,1,5,1,1,,,,,,
2020-03-31,1193,1834,242,71,220,40,63,74,104,71,161,228,28,22,20,65,36,35,118,23,37,77,31,17,13,3,30,58,25,19,5,6,8,10,57,22,39,15,2,12,2,2,32,3,3,5,2,9,1,9,2,1,7,8,4,1,5,1,2,3,1,,,,
2020-04-01,1433,2270,298,82,270,55,75,105,118,94,189,244,39,28,25,90,49,36,159,25,47,86,45,17,14,3,39,69,33,31,8,6,10,11,80,26,47,19,3,13,2,3,41,6,4,9,2,11,1,10,2,1,7,10,8,1,5,1,3,5,1,,,,
2020-04-02,2178,3148,336,180,399,97,87,158,274,181,201,325,50,40,31,108,67,69,247,33,68,110,56,19,19,5,42,77,42,34,10,8,11,16,94,42,61,26,5,13,4,4,58,7,4,13,4,13,2,14,2,1,12,16,10,1,5,1,4,8,1,1,,,
2020-04-03,2495,3476,377,210,435,102,95,185,290,196,222,389,57,42,33,119,78,81,276,40,75,116,68,23,23,6,46,81,55,37,13,9,18,18,114,47,72,34,5,17,6,4,69,8,4,14,7,17,2,19,2,1,13,18,11,1,10,2,4,10,1,1,,,
