,Androscoggin,Cumberland,Lincoln,Unknown,Kennebec,Oxford,York,Penobscot,Sagadahoc,Knox,Waldo,Franklin,Somerset,Hancock,Aroostook,Washington,Piscataquis
2020-03-12,1,,,,,,,,,,,,,,,,
2020-03-13,1,1,,,,,,,,,,,,,,,
2020-03-14,1,2,,,,,,,,,,,,,,,
2020-03-15,1,10,1,,,,,,,,,,,,,,
2020-03-16,1,13,2,1,,,,,,,,,,,,,
2020-03-17,3,20,3,3,1,1,1,,,,,,,,,,
2020-03-18,3,29,4,3,1,1,1,1,,,,,,,,,
2020-03-19,3,34,4,3,3,1,3,1,,,,,,,,,
2020-03-20,3,35,4,3,4,1,5,2,,,,,,,,,
2020-03-21,3,41,4,3,4,4,8,2,1,,,,,,,,
2020-03-22,3,56,4,5,4,4,8,2,3,,,,,,,,
2020-03-23,3,66,5,5,4,5,12,3,3,1,,,,,,,
2020-03-24,3,74,5,5,5,6,16,4,3,1,1,,,,,,
2020-03-25,4,87,5,5,5,6,23,4,4,1,1,,,,,,
2020-03-26,5,90,5,5,6,8,27,5,4,1,2,1,,,,,
2020-03-27,6,92,5,5,6,8,33,6,4,2,2,1,,,,,
2020-03-28,7,120,5,5,9,8,38,10,5,2,2,2,,,,,
2020-03-29,8,142,5,5,10,9,47,11,7,4,2,2,1,,,,
2020-03-30,8,154,8,5,10,9,53,12,7,4,2,2,1,,,,
2020-03-31,11,169,8,6,12,9,59,12,7,5,2,2,1,,,,
2020-04-01,12,192,8,7,17,9,65,13,10,5,2,2,1,1,,,
2020-04-02,12,204,8,8,19,9,74,16,10,7,2,3,2,2,,,
2020-04-03,19,222,8,11,19,10,89,20,12,9,3,4,2,2,1,1,
2020-04-04,20,231,8,12,21,11,95,22,13,9,3,4,3,2,1,1,
2020-04-05,20,238,8,11,22,11,101,22,13,9,3,4,4,2,1,1,
2020-04-06,23,249,9,11,23,11,108,25,13,9,5,5,4,2,1,1,
2020-04-07,23,253,9,9,26,12,115,31,13,9,5,5,4,2,2,1,
2020-04-08,23,262,9,8,26,12,121,31,13,9,7,5,5,3,2,1,
2020-04-09,24,269,9,4,26,12,132,31,14,10,11,7,5,3,2,1,
2020-04-10,24,276,9,3,29,12,137,33,15,10,19,7,5,4,2,1,
2020-04-11,27,284,9,3,31,13,143,34,15,10,27,7,6,4,2,1,
2020-04-12,28,292,9,3,32,13,144,34,15,10,29,8,8,5,2,1,
2020-04-13,28,299,10,5,78,13,151,34,15,12,29,8,8,5,2,1,
2020-04-14,29,331,11,2,81,13,152,34,14,11,29,8,11,5,2,1,
2020-04-15,31,339,12,2,93,13,156,36,15,12,30,9,13,5,2,2,
2020-04-16,32,343,12,2,94,13,164,37,15,12,39,9,14,5,3,2,
2020-04-17,32,360,12,2,95,13,170,40,15,12,42,10,15,6,3,2,
2020-04-18,35,369,12,1,96,13,175,41,15,12,42,11,15,6,2,2,
2020-04-19,35,378,12,2,97,14,177,43,16,12,42,12,16,6,2,2,1
2020-04-20,35,380,12,1,97,14,181,44,16,12,43,13,16,6,2,2,1
2020-04-21,36,386,12,1,97,14,183,46,17,13,43,13,16,6,2,2,1
2020-04-22,36,395,12,2,99,14,185,47,17,13,45,14,16,7,2,2,1
2020-04-23,37,414,12,,100,14,190,49,17,13,47,14,16,8,3,2,1
2020-04-24,38,426,12,,100,14,191,50,17,13,47,26,16,8,4,2,1
2020-04-25,41,434,12,2,101,15,194,52,18,13,48,27,17,9,4,2,1
2020-04-26,42,454,12,2,101,15,196,53,18,14,48,27,17,9,4,2,1
2020-04-27,42,459,12,2,102,15,196,55,18,14,48,27,17,9,4,2,1
2020-04-28,42,466,12,1,103,15,200,57,18,15,48,27,18,10,5,2,1
2020-04-29,43,472,12,2,104,15,203,59,19,16,48,27,18,10,5,2,1
2020-04-30,48,486,13,1,104,15,205,78,19,16,48,27,17,10,5,2,1
2020-05-01,52,504,14,,104,15,208,79,19,16,49,28,17,10,5,2,1
2020-05-02,54,527,13,,104,15,210,82,19,16,49,28,17,10,5,2,1
2020-05-03,56,549,13,,105,15,215,84,19,16,49,29,17,10,5,2,1
2020-05-04,60,558,13,2,105,15,219,85,19,16,49,29,17,10,5,2,1
2020-05-05,62,571,13,,105,15,226,85,19,16,49,29,17,10,6,2,1
2020-05-06,67,583,14,,106,16,230,87,20,17,49,29,17,10,6,2,1
