,Montgomery,Harford,Prince George's,Baltimore,Anne Arundel,Charles,Carroll,Baltimore city,Howard,Frederick,Talbot,Calvert,Wicomico,Worcester,Caroline,Somerset,Washington,Cecil,St. Mary's,Garrett,Queen Anne's,Kent,Dorchester,Unknown,Allegany
2020-03-05,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-06,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-07,0,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-08,0,0,,,,,,,,,,,,,,,,,,,,,,,
2020-03-09,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-03-10,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-03-11,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2020-03-12,0,0,0,0,,,,,,,,,,,,,,,,,,,,,
2020-03-13,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,
2020-03-14,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,
2020-03-15,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,
2020-03-16,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
2020-03-17,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
2020-03-18,0,0,1,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,
2020-03-19,0,0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,
2020-03-20,0,0,1,1,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,
2020-03-21,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
2020-03-22,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,
2020-03-23,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2020-03-24,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
2020-03-25,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2020-03-26,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2020-03-27,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
2020-03-28,1,0,3,1,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,
2020-03-29,1,0,3,1,1,1,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,,
2020-03-30,1,0,6,1,1,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,,,
2020-03-31,1,0,7,1,1,1,2,2,2,0,0,0,1,0,0,0,0,0,0,0,0,0,,,
2020-04-01,1,0,7,1,1,1,5,2,2,2,0,0,1,0,0,0,0,1,0,0,0,0,0,9,
2020-04-02,6,0,7,1,1,1,5,2,2,2,0,0,1,0,0,0,0,1,0,0,0,0,0,7,0
2020-04-03,9,0,9,3,4,1,5,4,2,2,0,1,1,0,0,0,0,1,0,0,0,0,0,,0
2020-04-04,9,0,13,4,6,1,6,6,3,2,1,1,1,0,0,0,0,1,0,0,0,0,0,,0
2020-04-05,13,0,16,6,6,2,8,7,3,3,1,1,1,0,0,0,0,1,0,0,0,0,0,,0
2020-04-06,19,0,23,11,8,2,10,8,3,4,1,1,1,0,0,0,0,1,0,0,0,0,0,,0
2020-04-07,21,0,26,11,8,2,16,9,3,4,1,1,1,0,0,0,0,1,0,0,0,0,0,,0
2020-04-08,26,0,32,13,11,2,18,10,3,4,1,2,1,0,0,0,0,1,0,0,0,0,0,,0
2020-04-09,29,0,35,16,12,3,18,13,4,4,1,2,1,0,0,0,0,1,0,0,0,0,0,,0
2020-04-10,34,0,42,21,16,4,19,17,5,9,1,2,1,0,0,0,0,1,0,0,0,0,0,,0
2020-04-11,36,1,50,26,19,5,25,22,6,11,1,1,1,0,0,0,1,1,0,0,0,0,1,,0
2020-04-12,42,0,55,30,27,9,25,24,6,12,1,1,1,0,0,0,1,1,0,0,0,0,1,,0
2020-04-13,48,0,63,31,29,10,28,26,8,12,1,1,1,0,0,0,1,1,1,0,0,0,1,,0
2020-04-14,54,0,72,41,32,12,29,29,9,14,1,1,1,0,0,0,1,2,3,0,0,0,1,,0
2020-04-15,58,3,76,32,30,11,30,27,10,27,1,1,1,0,0,0,0,2,1,0,1,1,1,99,1
2020-04-16,70,4,80,37,35,13,30,35,11,29,1,1,1,0,0,0,1,2,1,0,1,1,1,104,1
2020-04-17,78,6,87,44,40,15,30,42,11,30,1,2,1,0,0,0,1,2,1,0,1,1,1,99,1
2020-04-18,86,5,95,45,41,16,37,43,12,31,1,2,1,0,0,0,3,3,1,0,2,1,1,107,1
2020-04-19,96,6,105,50,46,17,36,51,12,30,1,3,3,0,0,0,3,3,2,0,2,1,1,79,1
2020-04-20,106,6,112,50,48,20,36,54,13,30,1,3,3,0,0,0,3,3,2,0,2,1,1,87,1
2020-04-21,116,7,118,58,52,23,38,59,13,33,1,4,2,0,0,0,3,3,3,0,2,1,1,113,2
2020-04-22,126,8,132,67,56,30,38,64,14,35,1,5,2,0,0,0,3,5,3,0,2,1,1,102,3
2020-04-23,139,8,150,71,61,32,38,66,15,36,1,6,3,0,0,0,3,5,4,0,2,1,2,102,3
