,Forrest,Copiah,Leflore,Pearl River,Hinds,Hancock,Monroe,Harrison,Jackson,Bolivar,Coahoma,DeSoto,Madison,Perry,Holmes,Jones,Scott,Walthall,Wilkinson,Winston,Yazoo,Adams,Franklin,Humphreys,Lafayette,Lawrence,Lee,Marshall,Pike,Rankin,Smith,Tippah,Attala,Clay,George,Grenada,Itawamba,Leake,Lincoln,Lowndes,Panola,Simpson,Tunica,Union,Washington,Chickasaw,Montgomery,Oktibbeha,Pontotoc,Sunflower,Tate,Webster,Lamar,Marion,Tallahatchie,Choctaw,Newton,Noxubee,Amite,Calhoun,Prentiss,Benton,Lauderdale,Quitman,Yalobusha,Jefferson,Kemper,Neshoba,Sharkey,Unknown,Clarke,Covington,Carroll,Claiborne,Warren,Alcorn,Tishomingo,Jasper,Wayne,Stone,Greene,Jefferson Davis
2020-03-11,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-12,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-13,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-14,3,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-15,3,2,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-16,3,2,1,2,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-17,3,2,4,2,6,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-18,3,2,4,4,6,2,1,4,1,2,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-19,4,2,4,7,6,2,1,7,2,2,2,2,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-20,4,2,7,7,7,3,2,8,3,2,3,4,3,1,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-21,5,2,7,9,14,4,2,10,5,2,5,13,7,1,3,1,1,1,1,1,1,1,2,1,2,1,5,2,2,7,1,3,1,1,1,1,3,1,1,4,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
