,Clark,Washoe,Carson City,Elko,Unknown,Nye,Douglas,Lyon,Humboldt,White Pine,Churchill,Mineral,Lander
2020-03-05,1,1,,,,,,,,,,,
2020-03-06,1,1,,,,,,,,,,,
2020-03-07,1,1,,,,,,,,,,,
2020-03-08,2,2,,,,,,,,,,,
2020-03-09,2,2,,,,,,,,,,,
2020-03-10,2,2,,,,,,,,,,,
2020-03-11,5,2,,,,,,,,,,,
2020-03-12,8,2,1,,,,,,,,,,
2020-03-13,16,2,1,,,,,,,,,,
2020-03-14,16,4,1,,,,,,,,,,
2020-03-15,16,9,1,,,,,,,,,,
2020-03-16,35,9,1,,,,,,,,,,
2020-03-17,42,12,1,,,,,,,,,,
2020-03-18,69,12,1,,,,,,,,,,
2020-03-19,74,18,2,1,4,,,,,,,,
2020-03-20,126,22,3,2,11,1,,,,,,,
2020-03-21,126,22,3,2,11,1,,,,,,,
2020-03-22,126,25,3,2,33,1,,,,,,,
2020-03-23,151,25,3,2,82,1,1,,,,,,
2020-03-24,249,44,3,2,82,1,2,,,,,,
2020-03-25,249,57,3,2,90,1,3,1,,,,,
2020-03-26,350,67,4,2,107,1,3,1,,,,,
2020-03-27,443,75,4,2,91,1,4,1,,,,,
2020-03-28,528,93,5,3,101,1,5,1,1,,,,
2020-03-29,528,107,5,3,269,1,5,1,1,,,,
2020-03-30,753,121,5,5,150,1,5,1,3,,,,
2020-03-31,869,121,5,5,103,1,5,1,3,,,,
2020-04-01,961,163,5,5,131,4,6,1,3,,,,
2020-04-02,1125,163,8,5,142,4,6,2,3,,,,
2020-04-03,1279,229,9,7,,7,7,2,9,,,,
2020-04-04,1418,245,10,7,52,7,7,3,9,,,,
2020-04-05,1519,264,10,7,52,7,7,3,11,,,,
2020-04-06,1608,281,11,7,32,7,7,4,14,,,,
2020-04-07,1734,309,13,8,,11,8,4,14,,,,
2020-04-08,1878,326,14,9,53,11,9,4,14,,,,
2020-04-09,2009,363,14,9,20,11,9,4,16,1,,,
2020-04-10,2144,389,16,11,,10,10,7,18,1,,,
2020-04-11,2258,389,16,11,0,10,10,7,18,1,,,
2020-04-12,2324,461,16,11,,10,10,7,20,1,,,
2020-04-13,2444,500,22,11,,15,10,10,20,3,1,,
2020-04-14,2509,532,23,11,0,18,10,10,20,3,1,,
2020-04-15,2559,549,25,11,0,20,13,11,20,3,1,,
2020-04-16,2625,572,26,11,16,20,13,12,22,3,1,,
2020-04-17,2738,588,27,12,80,21,14,12,26,3,3,,
2020-04-18,2882,606,28,12,6,28,15,16,26,3,3,1,
2020-04-19,2940,637,59,12,,28,15,16,27,3,3,1,
2020-04-20,2998,662,28,12,34,29,15,18,27,3,3,1,
2020-04-21,3099,684,28,12,10,29,15,18,34,3,3,1,1
2020-04-22,3218,710,28,12,10,29,15,18,34,3,3,1,1
2020-04-23,3314,736,33,12,1,31,17,22,34,3,3,1,1
2020-04-24,3443,755,33,12,43,31,17,22,34,3,3,1,1
2020-04-25,3570,791,34,12,16,31,18,23,36,3,3,1,1
2020-04-26,3665,804,37,12,,31,19,26,36,3,3,1,1
2020-04-27,3717,820,39,12,0,31,19,26,36,3,3,1,1
2020-04-28,3793,834,44,15,0,35,19,27,37,3,3,1,1
2020-04-29,3891,848,44,15,0,35,19,27,38,3,3,4,7
2020-04-30,3979,873,45,15,0,37,19,28,40,3,3,4,7
2020-05-01,4118,921,47,15,0,37,20,29,44,3,3,4,8
2020-05-02,4225,949,48,15,0,37,21,33,44,3,3,4,8
2020-05-03,4274,977,48,15,0,37,21,34,49,3,3,4,8
2020-05-04,4411,988,48,15,0,39,21,34,53,3,3,4,8
2020-05-05,4411,1014,51,15,0,39,22,35,53,3,5,4,13
2020-05-06,4473,1022,51,45,0,42,22,35,58,3,5,4,14
