,Grafton,Rockingham,Hillsborough,Carroll,Belknap,Merrimack,Cheshire,Strafford,Sullivan,Coos,Unknown
2020-03-02,0,,,,,,,,,,
2020-03-03,0,,,,,,,,,,
2020-03-04,0,,,,,,,,,,
2020-03-05,0,,,,,,,,,,
2020-03-06,0,,,,,,,,,,
2020-03-07,0,0,,,,,,,,,
2020-03-08,0,0,,,,,,,,,
2020-03-09,0,0,,,,,,,,,
2020-03-10,0,0,,,,,,,,,
2020-03-11,0,0,,,,,,,,,
2020-03-12,0,0,,,,,,,,,
2020-03-13,0,0,,,,,,,,,
2020-03-14,0,0,,,,,,,,,
2020-03-15,0,0,0,,,,,,,,
2020-03-16,0,0,0,0,,,,,,,
2020-03-17,0,0,0,0,,,,,,,
2020-03-18,0,0,0,0,0,0,,,,,
2020-03-19,0,0,0,0,0,0,,,,,
2020-03-20,0,0,0,0,0,0,0,,,,
2020-03-21,0,0,0,0,0,0,0,0,,,
2020-03-22,0,0,0,0,0,0,0,0,0,,
2020-03-23,0,0,1,0,0,0,0,0,0,,
2020-03-24,0,0,1,0,0,0,0,0,0,,
2020-03-25,0,0,1,0,0,0,0,0,0,,
2020-03-26,0,0,1,0,0,0,0,0,0,,
2020-03-27,0,0,2,0,0,0,0,0,0,,
2020-03-28,0,0,2,0,0,0,0,0,0,,
2020-03-29,0,1,2,0,0,0,0,0,0,,
2020-03-30,0,1,2,0,0,0,0,0,0,,
2020-03-31,0,1,2,0,0,0,0,0,0,,
2020-04-01,0,1,2,0,0,0,0,0,1,,
2020-04-02,0,1,3,0,0,0,0,0,1,,
2020-04-03,0,1,5,0,0,0,0,0,1,0,
2020-04-04,0,1,7,0,0,0,0,0,1,0,0
2020-04-05,0,1,7,0,0,0,0,0,1,0,0
2020-04-06,0,1,7,0,0,0,0,0,1,0,0
2020-04-07,0,2,9,0,0,0,1,0,1,0,0
2020-04-08,0,2,13,0,0,1,1,0,1,0,0
2020-04-09,0,2,14,0,0,2,2,0,1,0,
2020-04-10,0,2,15,0,0,2,2,0,1,0,
2020-04-11,0,3,15,0,0,2,2,0,1,0,0
2020-04-12,0,3,15,0,0,2,2,0,1,0,0
2020-04-13,0,3,15,0,0,2,2,0,1,0,0
2020-04-14,0,3,19,0,0,2,2,0,1,0,0
2020-04-15,0,5,21,0,0,3,2,0,1,0,
2020-04-16,0,6,22,0,0,3,2,0,1,0,0
2020-04-17,0,8,23,0,0,3,2,0,1,0,0
2020-04-18,0,8,23,0,0,3,2,0,1,0,1
2020-04-19,0,10,24,0,0,3,2,0,1,0,1
2020-04-20,0,11,24,0,0,3,2,0,1,0,1
2020-04-21,0,11,24,0,0,3,2,0,1,0,1
2020-04-22,0,13,27,0,0,3,2,1,1,0,1
2020-04-23,0,14,28,0,0,3,2,2,1,0,1
2020-04-24,0,15,28,0,0,3,2,3,1,0,1
2020-04-25,0,15,31,0,0,3,2,7,1,0,1
2020-04-26,0,15,31,0,0,3,2,7,1,0,1
2020-04-27,0,15,31,0,0,3,2,7,1,0,1
2020-04-28,0,15,31,0,0,3,2,7,1,0,1
2020-04-29,0,19,32,0,0,3,2,8,1,0,1
2020-04-30,0,22,35,0,0,3,2,9,1,0,0
2020-05-01,1,25,39,0,0,4,2,9,1,0,0
2020-05-02,1,27,40,0,0,4,2,9,1,0,0
2020-05-03,1,28,41,0,0,4,2,9,1,0,0
2020-05-04,1,28,41,0,0,4,2,9,1,0,0
2020-05-05,1,31,43,0,0,4,2,10,1,0,0
2020-05-06,1,43,47,0,0,7,2,10,1,0,0
2020-05-07,1,44,48,0,0,7,2,11,1,0,0
2020-05-08,1,47,51,0,0,8,2,11,1,0,0
2020-05-09,1,53,54,0,0,9,2,11,1,0,0
2020-05-10,1,53,55,0,0,10,2,11,1,0,0
2020-05-11,1,53,55,0,0,10,2,11,1,0,0
2020-05-12,1,55,61,0,0,11,2,11,1,0,0
