,Bergen,Camden,Passaic,Hudson,Monmouth,Union,Burlington,Middlesex,Essex,Morris,Unknown,Ocean,Mercer,Hunterdon,Somerset,Gloucester,Warren,Atlantic,Cape May,Sussex,Cumberland,Salem
2020-03-04,1,,,,,,,,,,,,,,,,,,,,,
2020-03-05,2,,,,,,,,,,,,,,,,,,,,,
2020-03-06,3,1,,,,,,,,,,,,,,,,,,,,
2020-03-07,3,1,,,,,,,,,,,,,,,,,,,,
2020-03-08,4,1,1,,,,,,,,,,,,,,,,,,,
2020-03-09,5,1,1,1,2,1,,,,,,,,,,,,,,,,
2020-03-10,7,1,1,1,2,1,2,,,,,,,,,,,,,,,
2020-03-11,11,1,1,1,4,1,2,2,,,,,,,,,,,,,,
2020-03-12,13,1,1,1,5,1,2,2,1,1,1,,,,,,,,,,,
2020-03-13,17,2,2,3,7,1,3,4,6,3,1,1,,,,,,,,,,
2020-03-14,31,2,2,5,8,1,3,8,7,5,1,1,1,,,,,,,,,
2020-03-15,32,2,5,10,11,4,4,9,11,6,1,2,1,,,,,,,,,
2020-03-16,61,3,8,19,14,8,5,15,20,8,1,3,6,1,4,,,,,,,
2020-03-17,84,3,10,24,22,22,5,20,32,19,1,4,9,4,6,2,1,,,,,
2020-03-18,133,10,18,34,32,26,10,40,45,19,1,16,15,6,15,2,2,3,,,,
2020-03-19,297,11,38,55,43,29,14,64,63,26,1,33,20,8,20,3,4,3,1,2,,
2020-03-20,342,15,49,66,53,43,17,76,73,35,3,49,22,11,27,3,4,3,1,3,1,
2020-03-21,362,15,67,97,92,81,20,116,107,64,151,62,30,14,34,6,5,4,2,6,1,
2020-03-22,457,22,95,126,158,124,26,147,172,119,221,102,40,16,51,8,9,5,2,12,1,1
2020-03-23,609,33,141,190,238,189,36,210,273,177,416,144,50,18,67,13,15,6,2,15,1,1
2020-03-24,701,51,216,234,288,246,42,277,342,204,645,180,58,25,102,19,15,6,3,18,2,1
2020-03-25,819,61,255,260,313,262,48,316,381,223,933,222,82,25,117,23,18,9,4,27,3,1
2020-03-26,1206,73,399,441,501,432,64,505,609,315,1478,389,111,39,179,33,31,10,6,49,4,2
2020-03-27,1505,95,484,594,634,519,88,640,826,391,1984,484,131,52,222,40,38,14,7,65,9,3
2020-03-28,1838,123,608,771,781,742,115,808,1086,442,2478,624,168,61,258,51,51,17,7,81,11,3
2020-03-29,2169,163,831,974,870,896,142,938,1227,566,3020,759,202,66,295,72,56,24,9,93,11,3
2020-03-30,2482,200,1091,1314,1030,1213,178,1123,1564,720,3840,874,249,79,349,89,68,30,15,113,12,3
2020-03-31,2909,228,1294,1606,1140,1418,202,1277,1900,841,3683,1022,268,97,413,114,76,31,15,132,18,12
2020-04-01,3494,289,1494,1910,1301,1661,255,1493,2262,942,4512,1209,333,117,472,149,96,40,22,158,27,19
2020-04-02,4099,343,1750,2270,1458,2010,294,1766,2617,1082,4866,1371,386,130,549,169,116,50,34,179,31,20
2020-04-03,4866,406,2216,2835,1743,2487,367,2125,3067,1298,4805,1685,484,148,641,183,149,75,44,210,36,25
2020-04-04,5760,481,2856,3491,2065,2916,469,2578,3584,1618,3935,2003,586,171,765,215,182,98,50,236,40,25
2020-04-05,6187,556,3227,3924,2354,3216,547,2950,4082,1800,3821,2177,654,189,833,248,195,121,77,267,54,26
2020-04-06,6862,645,3756,4395,2545,3685,646,3263,4493,1956,3521,2374,740,211,902,279,215,132,85,292,64,29
2020-04-07,7533,736,4101,4949,2770,4358,733,3717,5078,2239,2220,2641,837,234,1033,311,255,144,94,331,71,31
2020-04-08,7874,838,4372,5437,3038,4831,801,4156,5598,2468,1362,2856,992,255,1189,340,289,168,100,357,80,36
2020-04-09,8343,990,4690,5879,3248,5203,883,4628,6069,2645,996,3093,1161,286,1335,413,319,191,109,392,111,43
2020-04-10,8928,1072,5017,6411,3496,5575,954,5060,6580,2771,649,3269,1282,293,1523,447,337,211,116,413,138,46
2020-04-11,9362,1180,5295,6851,3651,5865,1031,5406,7007,2925,924,3403,1434,301,1642,487,362,230,129,456,154,56
2020-04-12,9784,1270,5590,7469,3785,6180,1095,5693,7410,3099,1274,3554,1567,314,1732,532,395,253,145,483,165,61
2020-04-13,10092,1401,5950,7879,3875,6636,1155,5987,7634,3225,1203,3593,1646,325,1809,566,416,267,164,508,187,66
2020-04-14,10426,1477,6438,8242,4003,7265,1207,6313,8212,3424,1702,3833,1731,349,1911,587,442,284,169,535,201,73
2020-04-15,10848,1587,6750,8511,4122,7438,1261,6576,8579,3525,1189,4016,1856,356,2001,602,468,322,178,551,210,84
2020-04-16,11409,1734,7317,9165,4299,7904,1326,6994,9084,3701,1048,4272,2037,373,2103,624,501,344,186,578,223,95
2020-04-17,11863,1807,7604,9636,4414,8429,1366,7308,9672,3822,719,4424,2123,385,2195,664,521,370,189,591,263,102
2020-04-18,12163,1918,7936,9956,4528,8959,1456,7624,9901,3984,748,4548,2215,391,2283,683,543,382,199,626,272,105
2020-04-19,12639,2131,8288,10486,4669,9609,1587,8017,10304,4136,585,4648,2395,407,2384,737,592,398,206,659,308,116
2020-04-20,13011,2255,8479,11150,4787,9972,1663,8346,10729,4236,669,4868,2591,419,2488,770,613,410,212,680,338,120
2020-04-21,13356,2379,8941,11636,4947,10289,1765,8767,11128,4435,599,5036,2753,422,2599,808,642,469,217,712,360,127
2020-04-22,13686,2528,9392,12039,5086,10484,1878,9047,11387,4556,1045,5234,2845,434,2688,856,689,505,227,743,382,134
2020-04-23,14049,2683,9874,12645,5238,10935,1969,9530,11811,4680,1108,5444,2991,464,2798,899,719,544,236,784,424,164
2020-04-24,14363,2750,10291,13011,5368,11208,2054,9789,12110,4716,532,5612,3086,490,2921,923,729,566,247,795,466,169
2020-04-25,14738,2870,10738,13367,5521,11523,2153,10075,12520,4821,557,5811,3245,505,3030,949,750,596,261,812,504,177
2020-04-26,14965,2983,11137,13708,5671,11853,2333,10642,12863,4976,681,5962,3355,536,3144,976,778,638,281,855,520,181
2020-04-27,15104,3124,11349,13925,5759,12011,2407,10767,13047,5030,818,6024,3433,564,3204,1111,810,749,281,864,595,212
2020-04-28,15251,3285,11755,14309,5826,12188,2543,11102,13190,5128,718,6151,3605,573,3278,1179,848,868,299,882,659,219
2020-04-29,15446,3385,12185,14596,5907,12380,2606,11436,13445,5213,617,6253,3725,583,3372,1208,880,908,305,900,687,227
2020-04-30,15610,3519,12449,14916,6033,12578,2690,11715,13682,5287,478,6375,3937,603,3464,1251,903,964,323,921,723,231
2020-05-01,15830,3646,12814,15148,6132,12779,2769,11947,13994,5354,583,6505,4077,608,3537,1282,920,1012,334,936,746,237
2020-05-02,15974,3773,13082,15401,6198,12996,2879,12213,14248,5406,676,6692,4271,622,3605,1334,941,1050,337,949,809,261
2020-05-03,16185,3973,13364,15769,6290,13225,3043,12597,14521,5517,641,6871,4504,661,3703,1384,957,1075,344,969,881,270
2020-05-04,16282,4073,13496,15881,6378,13357,3100,12768,14621,5549,647,6974,4594,665,3753,1433,977,1135,355,979,940,312
2020-05-05,16460,4251,13797,16099,6490,13503,3207,13142,14840,5625,550,7060,4743,679,3820,1467,982,1190,369,987,985,347
2020-05-06,16520,4307,13971,16197,6552,13604,3235,13254,14951,5655,594,7125,4860,682,3860,1499,993,1246,378,995,1059,353
2020-05-07,16609,4479,14133,16354,6649,13781,3367,13411,15095,5702,552,7209,4986,685,3914,1548,1004,1302,401,1006,1090,358
2020-05-08,16709,4619,14280,16520,6752,13917,3431,13617,15256,5767,553,7277,5111,701,3968,1593,1034,1423,424,1015,1124,363
2020-05-09,16804,4758,14428,16675,6815,13984,3531,13759,15365,5833,557,7366,5233,706,3996,1631,1040,1494,442,1023,1245,400
2020-05-10,16929,4870,14543,16822,6894,14057,3574,13937,15524,5854,591,7462,5317,714,4054,1654,1044,1510,458,1026,1287,411
2020-05-11,17028,4959,14645,16936,6988,14164,3665,14036,15602,5876,729,7569,5393,723,4093,1690,1047,1533,462,1033,1363,411
2020-05-12,17091,5043,14716,16975,7041,14203,3697,14121,15658,5908,704,7633,5426,729,4115,1710,1061,1558,471,1038,1427,418
2020-05-13,17150,5099,14757,17035,7090,14306,3726,14241,15749,5926,662,7688,5499,732,4127,1728,1066,1584,479,1041,1447,428
2020-05-14,17080,5172,14887,17134,7164,14385,3782,14332,15824,5954,802,7742,5612,764,4159,1756,1068,1649,483,1046,1471,438
2020-05-15,17195,5255,14930,17237,7224,14492,3849,14429,15953,5990,885,7829,5673,777,4181,1788,1072,1678,487,1047,1488,446
2020-05-16,17246,5381,15031,17326,7297,14569,3875,14514,16032,6012,996,7878,5719,795,4212,1811,1077,1716,500,1053,1592,457
2020-05-17,17361,5455,15205,17447,7339,14702,3937,14668,16140,6036,949,7913,5825,808,4255,1832,1078,1758,503,1056,1608,459
2020-05-18,17459,5573,15278,17574,7408,14903,3986,14752,16600,6092,835,7994,5950,846,4278,1907,1086,1807,506,1061,1679,465
2020-05-19,17522,5644,15371,17621,7470,15031,4000,14834,16686,6100,778,8067,6018,885,4312,1935,1091,1838,518,1063,1759,470
2020-05-20,17518,5738,15426,17748,7541,15122,4058,14954,16852,6139,855,8165,6162,920,4349,1966,1100,1875,531,1069,1830,481
2020-05-21,17583,5818,15497,17814,7637,15176,4097,15057,16906,6155,1026,8214,6205,925,4390,2002,1111,1895,534,1077,1869,484
2020-05-22,17653,5923,15604,17897,7695,15191,4217,15165,17014,6171,1123,8285,6295,938,4416,2031,1118,1919,545,1075,1921,523
2020-05-23,17668,5953,15610,17910,7720,15186,4252,15215,17065,6192,1110,8316,6351,938,4425,2044,1119,1936,558,1077,1924,535
2020-05-24,17804,6024,15686,17977,7800,15169,4308,15351,17142,6207,1200,8372,6413,960,4450,2066,1125,1961,561,1079,1947,552
2020-05-25,17901,6103,15774,18051,7865,15218,4355,15437,17202,6259,1100,8430,6491,966,4480,2089,1132,2028,570,1084,1991,566
2020-05-26,17963,6171,15826,18096,7911,15293,4381,15499,17255,6279,1083,8462,6544,967,4489,2103,1136,2049,571,1089,2024,573
2020-05-27,18023,6227,15873,18132,7961,15324,4432,15547,17338,6289,1172,8514,6592,973,4505,2130,1145,2087,592,1095,2098,579
2020-05-28,18158,6292,15959,18226,8012,15475,4476,15633,17450,6354,1162,8577,6670,974,4522,2165,1146,2120,602,1104,2146,592
2020-05-29,18223,6350,16045,18287,8100,15610,4519,15734,17546,6367,1095,8627,6775,981,4552,2198,1153,2154,611,1106,2209,602
2020-05-30,18211,6425,16099,18343,8159,15764,4567,15824,17594,6383,970,8700,6850,985,4567,2217,1162,2183,615,1110,2259,621
2020-05-31,18272,6510,16170,18419,8219,15821,4627,15921,17629,6463,870,8748,6933,993,4583,2234,1160,2214,617,1110,2298,634
2020-06-01,18302,6543,16200,18428,8249,15858,4657,15977,17695,6506,863,8770,6961,996,4595,2245,1165,2222,623,1114,2310,639
2020-06-02,18333,6603,16234,18455,8289,15868,4680,16021,17752,6512,946,8817,7004,999,4605,2262,1173,2251,628,1123,2345,645
2020-06-03,18376,6645,16277,18460,8332,15911,4700,16066,17811,6540,854,8853,7033,1006,4619,2278,1182,2284,629,1128,2431,653
2020-06-04,18408,6663,16311,18465,8379,15953,4725,16072,17912,6548,836,8900,7072,1009,4626,2290,1186,2286,630,1131,2469,659
2020-06-05,18463,6732,16387,18518,8428,16038,4746,16137,18019,6572,785,8954,7120,1015,4651,2310,1189,2309,637,1130,2531,665
2020-06-06,18492,6785,16436,18548,8454,16116,4769,16203,18066,6584,782,8979,7148,1022,4664,2319,1190,2330,643,1136,2557,670
2020-06-07,18512,6799,16449,18565,8478,16186,4785,16198,18077,6592,744,9022,7166,1023,4662,2328,1189,2364,646,1140,2564,675
2020-06-08,18538,6827,16461,18584,8498,16241,4798,16227,18117,6602,732,9041,7184,1025,4670,2332,1192,2383,647,1141,2575,682
2020-06-09,18573,6849,16492,18607,8512,16302,4808,16251,18151,6605,680,9059,7204,1027,4679,2340,1193,2401,654,1140,2583,686
2020-06-10,18667,6903,16524,18647,8563,16317,4826,16288,18206,6596,665,9100,7245,1028,4698,2357,1197,2422,662,1144,2604,687
2020-06-11,18719,6938,16555,18675,8627,16337,4832,16327,18234,6601,653,9166,7275,1032,4721,2367,1198,2431,663,1149,2627,689
2020-06-12,18743,6952,16581,18693,8660,16351,4848,16353,18295,6556,677,9200,7295,1034,4736,2379,1200,2453,664,1150,2645,699
2020-06-13,18805,6986,16612,18717,8720,16337,4866,16385,18336,6568,667,9222,7323,1038,4756,2402,1202,2475,669,1153,2661,705
2020-06-14,18818,7018,16627,18746,8740,16322,4876,16430,18364,6581,663,9244,7351,1039,4759,2414,1202,2490,671,1154,2666,706
2020-06-15,18848,7025,16649,18765,8761,16308,4894,16458,18375,6588,651,9258,7371,1041,4764,2416,1202,2497,672,1155,2697,708
2020-06-16,18901,7040,16664,18744,8786,16320,4929,16474,18388,6599,664,9279,7381,1042,4767,2423,1205,2539,681,1161,2728,711
2020-06-17,18928,7047,16683,18755,8804,16315,4935,16513,18421,6627,643,9306,7393,1049,4780,2428,1206,2553,682,1167,2745,723
2020-06-18,18949,7061,16706,18753,8830,16304,4954,16547,18499,6652,683,9351,7416,1049,4786,2438,1205,2583,680,1170,2755,736
2020-06-19,18967,7088,16725,18761,8876,16291,4981,16563,18533,6679,693,9382,7463,1050,4796,2451,1209,2619,681,1176,2767,745
2020-06-20,18996,7117,16735,18775,8925,16298,4994,16592,18515,6689,710,9413,7489,1053,4806,2457,1211,2638,705,1176,2792,748
2020-06-21,19010,7135,16769,18744,8942,16322,5023,16605,18551,6699,663,9425,7541,1054,4813,2467,1216,2702,688,1176,2847,750
2020-06-22,19037,7153,16772,18755,8965,16340,5046,16618,18578,6718,656,9440,7549,1060,4819,2471,1218,2722,692,1178,2876,752
2020-06-23,19069,7163,16794,18773,8998,16341,5056,16640,18592,6727,697,9466,7560,1062,4818,2489,1221,2750,694,1178,2894,752
2020-06-24,19097,7185,16788,18771,9008,16330,5068,16640,18617,6724,698,9486,7572,1064,4819,2497,1222,2771,697,1180,2908,750
2020-06-25,19430,7259,16967,18946,9123,16514,5122,16867,18874,6831,706,9576,7633,1120,4909,2525,1235,2801,708,1220,2929,755
2020-06-26,19527,7292,16991,18959,9150,16536,5130,16885,18903,6844,701,9603,7659,1120,4912,2538,1236,2825,710,1222,2937,758
2020-06-27,19538,7325,17016,18985,9175,16533,5163,16924,18933,6861,697,9613,7657,1120,4922,2554,1238,2836,709,1221,2948,759
2020-06-28,19617,7331,17015,19005,9201,16548,5174,16964,18953,6876,651,9638,7664,1129,4938,2564,1239,2853,736,1226,2954,760
2020-06-29,19638,7344,17024,19009,9203,16557,5180,16964,18968,6881,636,9643,7672,1131,4939,2570,1241,2859,716,1227,2958,766
2020-06-30,19686,7364,17027,19012,9233,16566,5206,17016,18995,6884,642,9682,7697,1135,4950,2585,1244,2877,744,1229,2975,772
2020-07-01,19708,7415,17042,19013,9256,16564,5227,17025,19008,6903,643,9695,7714,1136,4962,2603,1252,2892,716,1234,2992,782
2020-07-02,19735,7457,17067,19041,9307,16569,5259,17048,19045,6924,672,9699,7736,1138,4992,2617,1254,2912,717,1235,3004,784
2020-07-03,19793,7470,17074,19080,9344,16591,5276,17080,19083,6937,658,9734,7754,1140,4999,2626,1257,2938,718,1236,3011,799
2020-07-04,19823,7485,17088,19112,9368,16616,5281,17097,19100,6947,679,9750,7770,1142,5008,2637,1260,2940,719,1247,3018,802
2020-07-05,19886,7530,17101,19143,9404,16630,5300,17109,19128,6956,685,9774,7783,1143,5017,2652,1264,2950,720,1246,3030,807
2020-07-06,19916,7547,17110,19157,9416,16607,5315,17153,19136,6967,695,9784,7788,1145,5023,2663,1266,2963,724,1248,3034,810
2020-07-07,19937,7587,17121,19183,9442,16625,5333,17162,19159,6977,682,9806,7799,1145,5025,2678,1269,2975,724,1251,3042,812
2020-07-08,19993,7624,17125,19191,9458,16618,5344,17152,19161,7001,747,9821,7794,1146,5030,2698,1273,2976,722,1256,3043,813
2020-07-09,20043,7652,17158,19216,9469,16646,5357,17158,19177,7018,665,9846,7809,1150,5038,2704,1275,2991,727,1257,3045,816
2020-07-10,20099,7683,17188,19235,9502,16644,5373,17211,19203,7029,667,9854,7817,1152,5060,2719,1276,3002,730,1258,3056,817
2020-07-11,20119,7722,17208,19268,9535,16655,5401,17226,19237,7041,647,9877,7822,1150,5084,2746,1277,3016,736,1262,3059,818
2020-07-12,20143,7744,17222,19300,9580,16685,5416,17241,19257,7056,665,9893,7833,1150,5100,2765,1279,3030,736,1266,3064,820
2020-07-13,20163,7768,17238,19314,9613,16703,5423,17265,19288,7063,656,9901,7839,1150,5104,2771,1279,3038,737,1267,3069,820
