,Bernalillo,Santa Fe,Socorro,Sandoval,Taos,San Miguel,Doña Ana,McKinley,Lea,San Juan,Chaves,Cibola,Curry,Eddy,Rio Arriba,Roosevelt,Valencia,Torrance,Catron,Grant,Otero,Unknown,Lincoln,Los Alamos,Colfax,Luna,Quay,Guadalupe,Harding,Union,Sierra,Hidalgo,Mora
2020-03-11,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-12,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-13,5,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-14,6,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-15,10,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-16,14,3,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-17,14,4,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-18,17,6,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-19,20,7,2,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-20,23,7,2,6,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-21,32,8,2,7,3,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-22,34,10,2,7,3,1,4,2,1,1,,,,,,,,,,,,,,,,,,,,,,,
2020-03-23,38,12,2,7,3,1,10,2,1,3,4,,,,,,,,,,,,,,,,,,,,,,
2020-03-24,43,14,2,7,3,1,13,3,1,7,4,1,1,,,,,,,,,,,,,,,,,,,,
2020-03-25,48,17,2,8,3,1,13,3,1,8,4,1,1,1,2,,,,,,,,,,,,,,,,,,
2020-03-26,55,22,2,10,3,1,16,3,1,14,4,1,1,1,2,,,,,,,,,,,,,,,,,,
2020-03-27,82,29,2,15,8,1,16,5,2,17,4,2,1,2,3,1,1,,,,,,,,,,,,,,,,
2020-03-28,93,30,2,15,9,1,17,5,2,18,7,2,1,3,3,1,1,,,,,,,,,,,,,,,,
2020-03-29,101,34,2,18,9,1,17,9,2,22,8,2,3,4,2,1,2,,,,,,,,,,,,,,,,
2020-03-30,117,38,3,23,10,1,18,12,2,27,10,2,3,4,3,1,5,3,,,,,,,,,,,,,,,
2020-03-31,129,42,3,29,11,1,18,16,2,32,10,2,3,4,4,1,5,3,,,,,,,,,,,,,,,
2020-04-01,148,48,3,32,12,1,21,20,2,37,10,4,5,4,4,1,5,3,1,1,1,,,,,,,,,,,,
2020-04-02,163,48,4,40,13,1,21,24,2,41,13,5,6,4,5,1,5,3,1,1,2,,,,,,,,,,,,
2020-04-03,202,52,4,66,13,1,22,32,2,50,13,8,6,4,5,1,5,3,1,1,2,2,,,,,,,,,,,
2020-04-04,225,58,4,69,13,1,23,32,2,58,13,12,6,4,6,1,5,6,1,1,2,,1,1,,,,,,,,,
2020-04-05,246,62,5,103,13,1,29,40,2,58,13,14,6,4,6,1,7,6,1,1,3,,1,2,,,,,,,,,
2020-04-06,262,64,5,114,13,1,30,44,2,83,14,14,6,4,6,1,7,6,1,3,3,,1,2,,,,,,,,,
2020-04-07,307,66,5,128,14,1,35,55,2,107,15,15,8,4,6,1,7,7,1,4,3,,1,2,,,,,,,,,
2020-04-08,325,68,7,143,14,1,39,70,2,116,16,16,8,6,7,1,8,7,1,4,3,,1,2,,,,,,,,,
2020-04-09,369,70,9,174,15,1,44,84,2,126,18,21,9,6,7,1,11,8,1,4,3,,1,4,1,,,,,,,,
2020-04-10,407,72,10,177,15,1,44,113,2,142,18,24,9,6,7,1,14,9,1,7,3,,1,4,1,2,,,,,,,
2020-04-11,422,74,11,199,15,1,49,140,2,149,19,25,9,6,7,1,15,9,1,8,3,,1,4,1,2,1,,,,,,
2020-04-12,440,75,12,235,15,1,49,144,2,151,19,25,10,7,7,1,18,10,1,9,4,,1,5,1,2,1,,,,,,
2020-04-13,455,76,14,244,15,1,50,191,2,173,19,25,10,7,7,1,20,10,1,10,3,,1,5,2,2,1,,,,,,
2020-04-14,464,76,15,253,15,2,50,204,2,192,19,28,10,7,10,1,21,12,1,10,3,,1,6,2,2,1,,,,,,
2020-04-15,477,78,16,262,15,2,54,242,2,200,19,29,10,7,10,1,21,12,1,11,3,,1,6,2,2,1,,,,,,
2020-04-16,491,79,20,293,15,2,58,265,2,229,19,30,10,7,10,1,24,12,1,12,3,,1,6,3,3,1,,,,,,
2020-04-17,514,80,20,301,15,2,65,316,2,243,21,32,10,9,10,1,26,12,1,13,3,,1,6,4,3,1,,,,,,
2020-04-18,527,82,20,311,15,2,67,356,2,260,21,33,10,9,10,1,26,12,1,13,3,,1,6,4,3,2,1,,,,,
2020-04-19,542,83,20,315,15,2,69,363,2,275,21,33,10,9,10,1,29,12,1,13,3,,1,6,4,3,2,1,,,,,
2020-04-20,566,86,31,317,16,2,73,416,2,293,21,33,10,10,11,1,33,13,1,14,3,,1,6,5,3,3,1,,,,,
2020-04-21,585,88,34,322,16,2,76,460,2,314,21,35,10,10,11,1,34,13,1,14,3,,2,6,5,3,3,1,,,,,
2020-04-22,600,93,34,341,16,2,82,519,5,339,21,35,10,11,11,4,35,13,1,14,3,,2,6,5,3,3,2,,,,,
2020-04-23,631,96,38,345,17,2,88,573,8,390,22,38,10,11,11,4,38,13,1,14,5,,2,6,5,3,4,3,1,,,,
2020-04-24,651,96,39,357,17,2,94,639,10,420,22,38,10,11,12,4,41,13,1,14,5,,2,6,5,3,4,7,1,,,,
2020-04-25,670,96,40,365,17,2,110,708,10,435,22,39,11,11,12,6,41,13,1,14,5,,2,6,5,3,4,12,1,1,,,
2020-04-26,688,96,40,374,17,2,116,720,10,442,22,41,13,13,14,7,42,14,1,14,5,,2,6,5,3,4,13,1,3,,,
