,Delaware,Wayne,Montgomery,Monroe,Philadelphia,Bucks,Northampton,Pike,Chester,Cumberland,Washington,Allegheny,Lehigh,Luzerne,Beaver,Adams,Berks,Lackawanna,York,Lancaster,Lebanon,Westmoreland,Centre,Erie,Franklin,Potter,Butler,Montour,Columbia,Dauphin,Fayette,Mercer,Schuylkill,Cambria,Armstrong,Bradford,Carbon,Clearfield,Juniata,Somerset,Greene,Lawrence,Lycoming,Warren,Blair,Crawford,Indiana,Susquehanna,Northumberland,Union,Cameron,Clarion,Huntingdon,McKean,Perry,Snyder,Tioga,Mifflin,Venango,Bedford,Forest,Clinton,Unknown,Sullivan,Wyoming,Fulton,Elk,Jefferson
2020-03-06,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-07,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-08,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-09,1,1,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-10,1,1,8,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-11,1,1,9,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-12,1,1,13,2,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-13,6,1,18,3,3,3,1,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-14,6,1,20,3,4,4,1,1,2,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-15,7,1,24,7,8,4,1,1,4,5,1,3,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-16,7,1,30,9,8,7,1,1,4,5,1,5,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-17,9,1,32,9,10,9,1,1,4,10,2,10,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-18,14,1,42,9,17,10,1,2,9,10,2,12,1,1,2,1,1,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-19,14,1,47,15,33,10,5,3,10,11,3,18,1,1,2,2,1,3,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-20,23,1,59,19,42,14,10,3,17,11,3,28,2,2,3,5,5,5,6,2,1,4,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-21,33,1,77,25,69,32,17,3,19,11,5,31,13,6,3,5,7,6,9,4,2,4,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-22,43,2,110,31,91,34,21,3,23,11,7,40,19,7,3,5,13,6,10,5,3,5,1,2,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-23,54,3,129,43,128,43,23,3,40,12,7,48,25,10,3,6,14,7,10,5,3,6,3,3,1,1,5,1,1,1,1,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-24,84,4,144,45,177,65,33,4,40,13,9,58,27,21,3,6,16,15,18,10,3,11,7,4,3,1,6,3,1,4,2,2,5,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-25,101,4,172,51,257,110,44,9,54,13,10,88,38,27,7,6,20,18,20,12,3,16,8,4,5,1,12,4,1,10,4,2,6,1,1,1,1,2,1,2,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-26,156,6,282,67,402,110,56,15,84,15,12,133,63,36,13,7,36,28,21,21,4,24,9,4,5,1,19,4,3,13,8,3,9,1,1,2,2,2,1,2,3,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,
2020-03-27,185,6,374,98,530,124,79,23,107,16,14,158,93,55,14,8,65,35,29,33,12,30,11,7,5,1,26,4,3,18,9,4,13,1,1,2,2,2,1,2,4,4,2,1,1,1,2,1,1,1,,,,,,,,,,,,,,,,,,
2020-03-28,226,6,411,106,709,216,94,27,116,22,23,219,109,65,22,8,65,51,37,45,15,41,15,7,7,2,41,5,4,23,10,6,16,1,2,3,3,2,1,2,6,8,2,1,2,2,2,1,1,,1,1,1,1,1,1,1,,,,,,,,,,,
2020-03-29,276,7,488,135,865,249,126,33,137,22,24,265,151,94,28,8,68,56,43,67,19,47,22,7,11,2,47,5,6,35,10,7,21,1,3,3,9,2,1,2,6,8,3,1,3,3,2,1,1,,1,1,1,1,1,2,1,2,1,,,,,,,,,
2020-03-30,303,10,540,182,1072,249,184,39,146,24,26,290,231,150,44,8,82,62,54,97,27,55,24,13,12,2,49,10,6,36,11,7,30,2,3,3,13,4,3,2,7,10,4,1,6,4,2,1,1,4,1,1,1,1,1,2,1,2,1,,,,,,,,,
