,Unknown,Bristol,Kent,Newport,Providence,Washington
2020-03-01,2,,,,,
2020-03-02,2,,,,,
2020-03-03,2,,,,,
2020-03-04,2,,,,,
2020-03-05,2,,,,,
2020-03-06,3,,,,,
2020-03-07,3,,,,,
2020-03-08,3,,,,,
2020-03-09,3,,,,,
2020-03-10,5,,,,,
2020-03-11,5,,,,,
2020-03-12,5,,,,,
2020-03-13,20,,,,,
2020-03-14,20,,,,,
2020-03-15,20,,,,,
2020-03-16,21,,,,,
2020-03-17,23,,,,,
2020-03-18,33,,,,,
2020-03-19,44,,,,,
2020-03-20,44,,,,,
2020-03-21,66,,,,,
2020-03-22,83,,,,,
2020-03-23,106,,,,,
2020-03-24,124,,,,,
2020-03-25,66,5,7,8,37,9
2020-03-26,94,5,7,8,42,9
2020-03-27,132,5,7,8,42,9
2020-03-28,168,5,7,8,42,9
2020-03-29,69,11,28,17,148,21
2020-03-30,99,14,32,21,214,28
2020-03-31,72,19,40,23,305,29
2020-04-01,37,20,55,31,391,32
2020-04-02,92,21,59,33,418,34
2020-04-03,146,21,59,33,418,34
2020-04-04,122,24,82,39,491,48
2020-04-05,172,25,92,42,538,53
2020-04-06,332,25,92,42,538,53
2020-04-07,223,30,125,56,715,80
2020-04-08,297,31,137,56,832,97
2020-04-09,424,37,152,57,957,100
2020-04-10,712,37,152,57,957,100
2020-04-11,673,39,169,74,1278,116
2020-04-12,989,39,169,74,1278,116
2020-04-13,1300,39,169,74,1278,116
2020-04-14,756,49,244,93,1957,152
2020-04-15,1034,49,244,93,1957,152
2020-04-16,840,56,272,98,2401,171
2020-04-17,832,57,299,103,2703,183
2020-04-18,815,59,316,103,3014,184
2020-04-19,715,65,341,105,3292,188
2020-04-20,861,67,366,107,3491,198
2020-04-21,1000,68,386,110,3727,209
2020-04-22,1341,68,386,110,3727,209
2020-04-23,1756,68,386,110,3727,209
2020-04-24,1132,102,466,124,4603,272
2020-04-25,1198,107,496,130,4916,282
2020-04-26,1109,111,526,135,5266,292
2020-04-27,1378,111,526,135,5266,292
2020-04-28,1267,114,574,138,5520,313
2020-04-29,1065,145,598,148,5967,324
2020-04-30,1087,143,622,149,6290,330
2020-05-01,1104,142,638,155,6579,344
2020-05-02,1142,144,675,156,6822,350
2020-05-03,1086,152,697,158,7028,356
2020-05-04,1133,154,703,161,7138,363
2020-05-05,1414,154,703,161,7138,363
2020-05-06,1686,154,703,161,7138,363
2020-05-07,2011,154,703,161,7138,363
2020-05-08,2260,154,703,161,7138,363
2020-05-09,2470,154,703,161,7138,363
2020-05-10,2755,154,703,161,7138,363
2020-05-11,1158,171,859,182,8674,406
2020-05-12,1198,172,850,185,8798,411
2020-05-13,1046,172,883,197,9112,425
2020-05-14,1227,172,883,197,9112,425
2020-05-15,1430,172,883,197,9112,425
2020-05-16,1645,172,883,197,9112,425
2020-05-17,1885,172,883,197,9112,425
2020-05-18,2006,172,883,197,9112,425
2020-05-19,2162,172,883,197,9112,425
2020-05-20,1556,198,958,206,9976,462
2020-05-21,1553,204,974,209,10160,471
2020-05-22,1528,209,985,212,10320,482
2020-05-23,1504,213,1005,226,10519,485
2020-05-24,1518,213,1013,228,10607,486
2020-05-25,1518,213,1013,228,10607,486
2020-05-26,1663,213,1013,228,10607,486
2020-05-27,1496,223,1032,235,10874,493
2020-05-28,1533,222,1038,237,10968,496
2020-05-29,1564,224,1052,244,11052,499
2020-05-30,1748,224,1052,244,11052,499
2020-05-31,1857,224,1052,244,11052,499
2020-06-01,1920,224,1052,244,11052,499
2020-06-02,2041,224,1052,244,11052,499
2020-06-03,2148,224,1052,244,11052,499
2020-06-04,2254,224,1052,244,11052,499
2020-06-05,2370,224,1052,244,11052,499
2020-06-06,2370,224,1052,244,11052,499
2020-06-07,2370,224,1052,244,11052,499
2020-06-08,1565,231,1105,269,11959,513
2020-06-09,1614,231,1105,269,11959,513
2020-06-10,1679,231,1105,269,11959,513
2020-06-11,1785,231,1105,269,11959,513
2020-06-12,1870,231,1105,269,11959,513
2020-06-13,1870,231,1105,269,11959,513
2020-06-14,1870,231,1105,269,11959,513
2020-06-15,1569,240,1128,277,12363,516
2020-06-16,1640,240,1128,277,12363,516
2020-06-17,1689,240,1128,277,12363,516
2020-06-18,1745,240,1128,277,12363,516
2020-06-19,1813,240,1128,277,12363,516
2020-06-20,1813,240,1128,277,12363,516
2020-06-21,1813,240,1128,277,12363,516
2020-06-22,1514,247,1169,294,12712,523
2020-06-23,1588,247,1169,294,12712,523
2020-06-24,1661,247,1169,294,12712,523
2020-06-25,1695,247,1169,294,12712,523
2020-06-26,1716,247,1169,294,12712,523
2020-06-27,1716,247,1169,294,12712,523
2020-06-28,1716,247,1169,294,12712,523
2020-06-29,1535,253,1199,308,12937,532
2020-06-30,1584,253,1199,308,12937,532
2020-07-01,1624,253,1199,308,12937,532
2020-07-02,1712,253,1199,308,12937,532
2020-07-03,1488,256,1234,331,13144,538
2020-07-04,1488,256,1234,331,13144,538
2020-07-05,1488,256,1234,331,13144,538
2020-07-06,1488,256,1234,331,13144,538
2020-07-07,1651,256,1234,331,13144,538
2020-07-08,1701,256,1234,331,13144,538
2020-07-09,1740,256,1234,331,13144,538
2020-07-10,1809,256,1234,331,13144,538
2020-07-11,1809,256,1234,331,13144,538
2020-07-12,1809,256,1234,331,13144,538
2020-07-13,1984,256,1234,331,13144,538
2020-07-14,2085,256,1234,331,13144,538
2020-07-15,1438,283,1316,365,13674,564
2020-07-16,1509,283,1316,365,13674,564
2020-07-17,1591,283,1316,365,13674,564
2020-07-18,1591,283,1316,365,13674,564
2020-07-19,1591,283,1316,365,13674,564
2020-07-20,1702,283,1316,365,13674,564
2020-07-21,1784,283,1316,365,13674,564
2020-07-22,1449,290,1351,365,14033,574
2020-07-23,1535,290,1351,365,14033,574
2020-07-24,1611,290,1351,365,14033,574
2020-07-25,1611,290,1351,365,14033,574
2020-07-26,1611,290,1351,365,14033,574
2020-07-27,1902,290,1351,365,14033,574
2020-07-28,2112,290,1351,365,14033,574
2020-07-29,1556,304,1421,380,14549,590
2020-07-30,1706,304,1421,380,14549,590
2020-07-31,1778,304,1421,380,14549,590
2020-08-01,1778,304,1421,380,14549,590
2020-08-02,1778,304,1421,380,14549,590
2020-08-03,2002,304,1421,380,14549,590
2020-08-04,2146,304,1421,380,14549,590
2020-08-05,1621,316,1494,396,15047,607
2020-08-06,1751,316,1494,396,15047,607
2020-08-07,1878,316,1494,396,15047,607
2020-08-08,1878,316,1494,396,15047,607
2020-08-09,1878,316,1494,396,15047,607
2020-08-10,2074,316,1494,396,15047,607
2020-08-11,2193,316,1494,396,15047,607
2020-08-12,1593,322,1544,405,15644,621
2020-08-13,1704,322,1544,405,15644,621
2020-08-14,1799,322,1544,405,15644,621
2020-08-15,1799,322,1544,405,15644,621
2020-08-16,1799,322,1544,405,15644,621
2020-08-17,2036,322,1544,405,15644,621
2020-08-18,2156,322,1544,405,15644,621
2020-08-19,1662,329,1592,411,16142,659
2020-08-20,1738,329,1592,411,16142,659
2020-08-21,1889,329,1592,411,16142,659
2020-08-22,1889,329,1592,411,16142,659
2020-08-23,1889,329,1592,411,16142,659
2020-08-24,2169,329,1592,411,16142,659
2020-08-25,2239,329,1592,411,16142,659
2020-08-26,1645,349,1664,434,16668,694
2020-08-27,1780,349,1664,434,16668,694
2020-08-28,1874,349,1664,434,16668,694
2020-08-29,1874,349,1664,434,16668,694
2020-08-30,1874,349,1664,434,16668,694
2020-08-31,2140,349,1664,434,16668,694
2020-09-01,2193,349,1664,434,16668,694
2020-09-02,1728,358,1706,457,17107,722
2020-09-03,1793,358,1706,457,17107,722
2020-09-04,1893,358,1706,457,17107,722
2020-09-05,1893,358,1706,457,17107,722
2020-09-06,1893,358,1706,457,17107,722
2020-09-07,1893,358,1706,457,17107,722
2020-09-08,2242,358,1706,457,17107,722
2020-09-09,1852,369,1746,476,17500,733
2020-09-10,1958,369,1746,476,17500,733
2020-09-11,2081,369,1746,476,17500,733
2020-09-12,2081,369,1746,476,17500,733
2020-09-13,2081,369,1746,476,17500,733
2020-09-14,2306,369,1746,476,17500,733
2020-09-15,2426,369,1746,476,17500,733
2020-09-16,1984,382,1796,502,17941,753
2020-09-17,2114,382,1796,502,17941,753
2020-09-18,2246,382,1796,502,17941,753
2020-09-19,2246,382,1796,502,17941,753
2020-09-20,2246,382,1796,502,17941,753
2020-09-21,2558,382,1796,502,17941,753
2020-09-22,2670,382,1796,502,17941,753
2020-09-23,2148,404,1867,518,18437,803
2020-09-24,2282,404,1867,518,18437,803
2020-09-25,2152,404,1867,518,18437,803
2020-09-26,2152,404,1867,518,18437,803
2020-09-27,2152,404,1867,518,18437,803
2020-09-28,2395,404,1867,518,18437,803
2020-09-29,2527,404,1867,518,18437,803
2020-09-30,2055,414,1945,530,18927,877
2020-10-01,2221,414,1945,530,18927,877
2020-10-02,2383,414,1945,530,18927,877
2020-10-03,2383,414,1945,530,18927,877
2020-10-04,2383,414,1945,530,18927,877
2020-10-05,2726,414,1945,530,18927,877
2020-10-06,2903,414,1945,530,18927,877
2020-10-07,2192,430,2018,545,19636,955
2020-10-08,2461,430,2018,545,19636,955
2020-10-09,2710,430,2018,545,19636,955
2020-10-10,2710,430,2018,545,19636,955
2020-10-11,2710,430,2018,545,19636,955
2020-10-12,2710,430,2018,545,19636,955
2020-10-13,3376,430,2018,545,19636,955
2020-10-14,2418,461,2145,582,20439,1119
2020-10-15,2692,461,2145,582,20439,1119
2020-10-16,2945,461,2145,582,20439,1119
2020-10-17,2945,461,2145,582,20439,1119
2020-10-18,2945,461,2145,582,20439,1119
2020-10-19,3601,461,2145,582,20439,1119
2020-10-20,3903,461,2145,582,20439,1119
2020-10-21,2929,498,2287,631,21543,1235
2020-10-22,3400,498,2287,631,21543,1235
2020-10-23,3924,498,2287,631,21543,1235
2020-10-24,3924,498,2287,631,21543,1235
2020-10-25,3924,498,2287,631,21543,1235
2020-10-26,4830,498,2287,631,21543,1235
2020-10-27,5251,498,2287,631,21543,1235
2020-10-28,3487,558,2566,678,23320,1335
2020-10-29,3855,558,2566,678,23320,1335
2020-10-30,4417,558,2566,678,23320,1335
2020-10-31,4417,558,2566,678,23320,1335
2020-11-01,4417,558,2566,678,23320,1335
2020-11-02,5663,558,2566,678,23320,1335
2020-11-03,6086,558,2566,678,23320,1335
2020-11-04,4009,661,2908,797,25309,1438
