,Charleston,Kershaw,Spartanburg,Lancaster,Beaufort,Lexington,Anderson,Greenville,Horry,Fairfield,Calhoun,Richland,York,Lee,Abbeville,Dorchester,Saluda,Aiken,Berkeley,Clarendon,Darlington,Florence,Orangeburg,Pickens,Sumter,Dillon,Edgefield,Greenwood,Jasper,Marlboro,Newberry,Colleton,Chester,Georgetown,Oconee,Chesterfield,Marion,Union,Williamsburg,Laurens,Barnwell,Bamberg,Allendale,Cherokee,Hampton,McCormick
2020-03-06,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-07,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-08,1,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-09,1,5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-10,1,7,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-11,1,7,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-12,1,8,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-13,1,9,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-14,1,11,1,2,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-15,1,14,1,2,3,1,2,1,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-16,1,17,1,2,3,2,2,1,3,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-17,3,22,1,2,4,3,2,2,4,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-18,4,25,1,2,6,4,2,3,5,1,1,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-19,5,29,1,3,7,5,3,7,6,1,1,8,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2020-03-20,6,36,1,3,8,8,6,12,8,1,1,22,1,1,1,1,1,1,1,1,1,1,2,1,1,,,,,,,,,,,,,,,,,,,,,
