,Unknown,St. Croix,St. John,St. Thomas
2020-03-14,1,,,
2020-03-15,1,,,
2020-03-16,2,,,
2020-03-17,2,,,
2020-03-18,3,,,
2020-03-19,3,,,
2020-03-20,6,,,
2020-03-21,6,,,
2020-03-22,17,,,
2020-03-23,17,,,
2020-03-24,17,,,
2020-03-25,17,,,
2020-03-26,17,,,
2020-03-27,19,,,
2020-03-28,19,,,
2020-03-29,23,,,
2020-03-30,30,,,
2020-03-31,30,,,
2020-04-01,30,,,
2020-04-02,37,,,
2020-04-03,38,,,
2020-04-04,42,,,
2020-04-05,42,,,
2020-04-06,0,13,2,29
2020-04-07,0,14,2,29
2020-04-08,0,14,2,30
2020-04-09,0,14,2,34
2020-04-10,0,14,2,35
2020-04-11,0,14,2,35
2020-04-12,0,14,2,35
2020-04-13,0,14,2,35
2020-04-14,0,14,2,35
2020-04-15,0,14,2,35
2020-04-16,0,14,2,35
2020-04-17,0,15,2,36
2020-04-18,0,15,2,36
2020-04-19,0,15,2,36
2020-04-20,0,16,2,36
2020-04-21,0,16,2,36
2020-04-22,0,16,2,36
2020-04-23,0,16,2,36
2020-04-24,0,17,2,36
2020-04-25,0,19,2,36
2020-04-26,0,20,2,37
2020-04-27,0,20,2,37
2020-04-28,0,23,2,37
2020-04-29,0,27,2,37
2020-04-30,0,27,2,37
2020-05-01,0,27,2,37
2020-05-02,0,27,2,37
2020-05-03,0,27,2,37
2020-05-04,0,27,2,37
2020-05-05,0,27,2,37
2020-05-06,0,27,2,37
2020-05-07,0,28,2,38
2020-05-08,0,29,2,38
2020-05-09,0,29,2,38
2020-05-10,0,29,2,38
2020-05-11,0,29,2,38
2020-05-12,0,29,2,38
2020-05-13,0,29,2,38
2020-05-14,0,29,2,38
2020-05-15,0,29,2,38
2020-05-16,0,29,2,38
2020-05-17,0,29,2,38
2020-05-18,0,29,2,38
2020-05-19,0,29,2,38
2020-05-20,0,29,2,38
2020-05-21,0,29,2,38
2020-05-22,0,29,2,38
2020-05-23,0,29,2,38
2020-05-24,0,29,2,38
2020-05-25,0,29,2,38
2020-05-26,0,29,2,38
2020-05-27,0,29,2,38
2020-05-28,0,29,2,38
2020-05-29,0,29,2,38
2020-05-30,0,30,2,38
2020-05-31,0,30,2,38
2020-06-01,0,30,2,38
2020-06-02,0,30,2,38
2020-06-03,0,30,2,39
2020-06-04,0,30,2,39
2020-06-05,0,30,2,39
2020-06-06,0,30,2,39
2020-06-07,0,30,2,39
2020-06-08,0,30,2,39
2020-06-09,0,31,2,39
2020-06-10,0,31,2,39
2020-06-11,0,31,2,39
2020-06-12,0,31,2,39
2020-06-13,0,31,2,39
2020-06-14,0,31,3,39
2020-06-15,0,31,3,39
2020-06-16,0,31,3,39
2020-06-17,0,31,3,39
2020-06-18,0,31,4,39
2020-06-19,0,31,4,39
2020-06-20,0,33,4,39
2020-06-21,0,33,4,39
2020-06-22,0,33,4,39
2020-06-23,0,35,4,39
2020-06-24,0,37,4,39
2020-06-25,0,37,4,40
2020-06-26,0,37,4,40
2020-06-27,0,37,4,40
2020-06-28,0,37,4,40
2020-06-29,0,40,4,40
2020-06-30,0,45,4,41
2020-07-01,0,46,4,42
2020-07-02,0,51,4,43
2020-07-03,0,62,4,45
2020-07-04,0,63,4,45
2020-07-05,0,63,4,45
2020-07-06,0,65,4,47
2020-07-07,0,71,4,47
2020-07-08,0,84,6,54
2020-07-09,0,91,6,56
2020-07-10,0,102,6,59
2020-07-11,0,114,6,61
2020-07-12,0,138,6,62
2020-07-13,0,148,7,62
2020-07-14,0,164,9,70
2020-07-15,0,166,9,74
2020-07-16,0,169,10,84
2020-07-17,0,183,11,89
2020-07-18,0,195,12,90
2020-07-19,0,195,12,90
2020-07-20,0,199,12,97
2020-07-21,0,199,12,97
2020-07-22,0,215,15,106
2020-07-23,,216,15,111
2020-07-24,,223,15,114
2020-07-25,,223,15,114
2020-07-26,,230,15,116
2020-07-27,,238,16,121
2020-07-28,,238,16,121
2020-07-29,,246,16,123
2020-07-30,,246,16,123
2020-07-31,,256,16,134
2020-08-01,,257,16,148
2020-08-02,,257,16,148
2020-08-03,,266,17,156
2020-08-04,,283,17,163
2020-08-05,,290,17,194
2020-08-06,,293,18,211
2020-08-07,,294,18,216
2020-08-08,,294,18,216
2020-08-09,,294,19,234
2020-08-10,,300,19,257
2020-08-11,,305,20,314
