,Unknown,St. Croix,St. John,St. Thomas
2020-03-14,0,,,
2020-03-15,0,,,
2020-03-16,0,,,
2020-03-17,0,,,
2020-03-18,0,,,
2020-03-19,0,,,
2020-03-20,0,,,
2020-03-21,0,,,
2020-03-22,0,,,
2020-03-23,0,,,
2020-03-24,0,,,
2020-03-25,0,,,
2020-03-26,0,,,
2020-03-27,0,,,
2020-03-28,0,,,
2020-03-29,0,,,
2020-03-30,0,,,
2020-03-31,0,,,
2020-04-01,0,,,
2020-04-02,0,,,
2020-04-03,0,,,
2020-04-04,0,,,
2020-04-05,0,,,
2020-04-06,1,0,0,0
2020-04-07,1,0,0,0
2020-04-08,1,0,0,0
2020-04-09,1,0,0,0
2020-04-10,1,0,0,0
2020-04-11,1,0,0,0
2020-04-12,1,0,0,0
2020-04-13,1,0,0,0
2020-04-14,1,0,0,0
2020-04-15,1,0,0,0
2020-04-16,1,0,0,0
2020-04-17,2,0,0,0
2020-04-18,3,0,0,0
2020-04-19,3,0,0,0
2020-04-20,3,0,0,0
2020-04-21,3,0,0,0
2020-04-22,3,0,0,0
2020-04-23,3,0,0,0
2020-04-24,3,0,0,0
2020-04-25,3,0,0,0
2020-04-26,4,0,0,0
2020-04-27,4,0,0,0
2020-04-28,4,0,0,0
2020-04-29,4,0,0,0
2020-04-30,4,0,0,0
2020-05-01,4,0,0,0
2020-05-02,4,0,0,0
2020-05-03,4,0,0,0
2020-05-04,4,0,0,0
2020-05-05,4,0,0,0
2020-05-06,4,0,0,0
2020-05-07,4,0,0,0
2020-05-08,4,0,0,0
2020-05-09,4,0,0,0
2020-05-10,4,0,0,0
2020-05-11,5,0,0,0
2020-05-12,6,0,0,0
2020-05-13,6,0,0,0
2020-05-14,6,0,0,0
2020-05-15,6,0,0,0
2020-05-16,6,0,0,0
2020-05-17,6,0,0,0
2020-05-18,6,0,0,0
2020-05-19,6,0,0,0
2020-05-20,6,0,0,0
2020-05-21,6,0,0,0
2020-05-22,6,0,0,0
2020-05-23,6,0,0,0
2020-05-24,6,0,0,0
2020-05-25,6,0,0,0
2020-05-26,6,0,0,0
2020-05-27,6,0,0,0
2020-05-28,6,0,0,0
2020-05-29,6,0,0,0
2020-05-30,6,0,0,0
2020-05-31,6,0,0,0
2020-06-01,6,0,0,0
2020-06-02,6,0,0,0
2020-06-03,6,0,0,0
2020-06-04,6,0,0,0
2020-06-05,6,0,0,0
2020-06-06,6,0,0,0
2020-06-07,6,0,0,0
2020-06-08,6,0,0,0
2020-06-09,6,0,0,0
2020-06-10,6,0,0,0
2020-06-11,6,0,0,0
2020-06-12,6,0,0,0
2020-06-13,6,0,0,0
2020-06-14,6,0,0,0
2020-06-15,6,0,0,0
2020-06-16,6,0,0,0
2020-06-17,6,0,0,0
2020-06-18,6,0,0,0
2020-06-19,6,0,0,0
2020-06-20,6,0,0,0
2020-06-21,6,0,0,0
2020-06-22,6,0,0,0
2020-06-23,6,0,0,0
2020-06-24,6,0,0,0
2020-06-25,6,0,0,0
2020-06-26,6,0,0,0
2020-06-27,6,0,0,0
2020-06-28,6,0,0,0
2020-06-29,6,0,0,0
2020-06-30,6,0,0,0
2020-07-01,6,0,0,0
2020-07-02,6,0,0,0
2020-07-03,6,0,0,0
2020-07-04,6,0,0,0
2020-07-05,6,0,0,0
2020-07-06,6,0,0,0
2020-07-07,6,0,0,0
2020-07-08,6,0,0,0
2020-07-09,6,0,0,0
2020-07-10,6,0,0,0
2020-07-11,6,0,0,0
2020-07-12,6,0,0,0
2020-07-13,6,0,0,0
2020-07-14,6,0,0,0
2020-07-15,6,0,0,0
2020-07-16,6,0,0,0
2020-07-17,6,0,0,0
2020-07-18,6,0,0,0
2020-07-19,6,0,0,0
2020-07-20,6,0,0,0
2020-07-21,6,0,0,0
2020-07-22,7,0,0,0
2020-07-23,,4,0,3
2020-07-24,,4,0,3
2020-07-25,,4,0,3
2020-07-26,,4,0,3
2020-07-27,,4,0,3
2020-07-28,,4,0,3
2020-07-29,,4,0,4
2020-07-30,,4,0,4
2020-07-31,,4,0,4
2020-08-01,,4,0,4
2020-08-02,,4,0,4
2020-08-03,,4,0,4
2020-08-04,,4,0,4
2020-08-05,,5,0,4
2020-08-06,,5,0,4
2020-08-07,,5,0,4
2020-08-08,,5,0,4
2020-08-09,,5,0,4
2020-08-10,,5,0,4
2020-08-11,,5,0,4
2020-08-12,,5,0,4
2020-08-13,,5,0,4
2020-08-14,,5,0,4
2020-08-15,,5,0,4
2020-08-16,,5,0,4
2020-08-17,,5,0,4
2020-08-18,,5,0,4
2020-08-19,,5,0,4
2020-08-20,,5,0,5
2020-08-21,,5,0,5
2020-08-22,,5,0,5
2020-08-23,,5,0,6
2020-08-24,,5,0,7
2020-08-25,,5,0,9
2020-08-26,,5,0,9
2020-08-27,,5,0,9
2020-08-28,,5,0,9
2020-08-29,,5,0,9
2020-08-30,,5,0,9
2020-08-31,,5,0,10
2020-09-01,,5,0,10
2020-09-02,,5,0,10
2020-09-03,,5,1,10
2020-09-04,,5,1,10
2020-09-05,,5,1,10
2020-09-06,,5,1,11
2020-09-07,,5,1,11
2020-09-08,,6,1,11
2020-09-09,,6,1,11
2020-09-10,,6,1,11
2020-09-11,,6,1,11
2020-09-12,,6,1,12
2020-09-13,,6,1,12
2020-09-14,,6,1,12
2020-09-15,,6,1,12
2020-09-16,,6,1,12
2020-09-17,,6,1,12
2020-09-18,,6,1,12
2020-09-19,,6,1,12
2020-09-20,,6,1,12
2020-09-21,,6,1,12
2020-09-22,,6,1,12
2020-09-23,,6,1,12
2020-09-24,,6,1,12
2020-09-25,,6,1,12
2020-09-26,,6,1,12
2020-09-27,,6,1,12
2020-09-28,,6,1,13
2020-09-29,,6,1,13
2020-09-30,,6,1,13
2020-10-01,,6,1,13
2020-10-02,,6,1,13
2020-10-03,,6,1,13
2020-10-04,,6,1,13
2020-10-05,,6,1,13
2020-10-06,,6,1,13
2020-10-07,,6,1,13
2020-10-08,,6,1,13
2020-10-09,,6,1,13
2020-10-10,,6,1,13
2020-10-11,,6,1,13
2020-10-12,,6,1,13
2020-10-13,,6,1,13
2020-10-14,,6,1,13
2020-10-15,,6,1,14
2020-10-16,,6,1,14
2020-10-17,,6,1,14
2020-10-18,,6,1,14
2020-10-19,,6,1,14
2020-10-20,,6,1,14
2020-10-21,,6,1,14
2020-10-22,,6,1,14
2020-10-23,,6,1,14
2020-10-24,,6,1,14
2020-10-25,,6,1,14
2020-10-26,,6,1,14
2020-10-27,,6,1,14
2020-10-28,,6,1,14
2020-10-29,,6,1,14
2020-10-30,,6,1,14
2020-10-31,,6,1,14
2020-11-01,,6,1,14
2020-11-02,,6,1,14
2020-11-03,,7,1,14
2020-11-04,,7,1,15
2020-11-05,,7,1,15
2020-11-06,,7,1,15
2020-11-07,,7,1,15
2020-11-08,,7,1,15
2020-11-09,,7,1,15
2020-11-10,,7,1,15
2020-11-11,,7,1,15
2020-11-12,,7,1,15
2020-11-13,,7,1,15
2020-11-14,,7,1,15
2020-11-15,,7,1,15
2020-11-16,,7,1,15
2020-11-17,,7,1,15
2020-11-18,,7,1,15
2020-11-19,,7,1,15
2020-11-20,,7,1,15
2020-11-21,,7,1,15
2020-11-22,,7,1,15
